ID,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
98445.0,9000,9000,17.27%,36 months,credit_card,25.22%,CA,RENT,5166.67,675-679,14,5852,1.0,10+ years
14958.0,5000,5000,11.86%,36 months,major_purchase,4%,TX,RENT,5577.0,715-719,3,1069,0.0,1 year
14754.0,3000,3000,10.38%,36 months,debt_consolidation,15.21%,PA,RENT,3083.33,710-714,11,3098,0.0,2 years
34501.0,20000,19975,23.91%,60 months,debt_consolidation,9.47%,CA,MORTGAGE,11250.0,670-674,5,11168,0.0,< 1 year
26888.0,5450,5450,7.49%,60 months,other,2.48%,WA,MORTGAGE,4600.0,785-789,14,4326,0.0,10+ years
81759.0,14000,14000,12.12%,36 months,debt_consolidation,11.38%,NY,MORTGAGE,4500.0,705-709,22,18583,0.0,5 years
10825.0,8800,8799.04,10.38%,60 months,credit_card,21.59%,IL,RENT,3750.0,750-754,11,18694,1.0,2 years
16667.0,3000,.,17.44%,36 months,other,15.79%,MD,RENT,7952.0,660-664,4,12578,0.0,8 years
92046.0,32000,32000,17.27%,60 months,debt_consolidation,15.61%,IL,RENT,9250.0,700-704,15,32566,1.0,2 years
88279.0,22250,22250,21.49%,60 months,debt_consolidation,28.87%,HI,RENT,4166.67,665-669,15,14107,0.0,9 years
17218.0,7325,7300,17.80%,60 months,debt_consolidation,20.37%,NY,OWN,3000.0,680-684,6,13583,0.0,5 years
82406.0,16450,16450,11.14%,36 months,debt_consolidation,7.57%,NC,RENT,7500.0,725-729,5,2928,0.0,1 year
17143.0,2500,2500,12.98%,36 months,debt_consolidation,16.45%,WI,RENT,1100.0,670-674,6,5019,1.0,4 years
27486.0,6000,6000,9.99%,36 months,other,7.50%,FL,MORTGAGE,2625.0,715-719,4,5167,0.0,10+ years
96613.0,27575,27575,14.33%,36 months,debt_consolidation,19.63%,CA,MORTGAGE,5166.67,690-694,6,8720,0.0,10+ years
6263.0,1000,1000,8.59%,36 months,educational,10.69%,NY,OWN,4583.33,755-759,22,17069,1.0,< 1 year
29283.0,12000,12000,11.49%,36 months,debt_consolidation,12.85%,IL,RENT,2708.33,705-709,8,12150,1.0,< 1 year
99766.0,30000,30000,10.16%,36 months,debt_consolidation,22.21%,SD,MORTGAGE,8000.0,715-719,14,33218,0.0,10+ years
85893.0,13500,13500,14.33%,.,debt_consolidation,31.70%,WV,RENT,4166.67,680-684,11,31168,0.0,1 year
98972.0,9000,9000,15.80%,36 months,debt_consolidation,22.65%,OH,MORTGAGE,3250.0,665-669,9,16480,0.0,3 years
44054.0,15000,15000,9.91%,36 months,debt_consolidation,9.16%,AK,MORTGAGE,4250.0,730-734,11,11615,1.0,10+ years
51948.0,5300,5300,7.90%,36 months,medical,12.82%,CA,RENT,5500.0,725-729,8,9996,2.0,1 year
48676.0,7000,7000,13.11%,36 months,debt_consolidation,16.76%,NJ,RENT,3650.0,685-689,12,6444,1.0,5 years
82294.0,20000,19975,16.29%,36 months,debt_consolidation,11.85%,CA,RENT,9166.67,685-689,10,12421,3.0,< 1 year
20328.0,15000,14993.57,18.25%,60 months,debt_consolidation,13.65%,CA,RENT,2916.67,705-709,4,12786,0.0,< 1 year
71489.0,8000,8000,14.09%,36 months,home_improvement,12.06%,HI,RENT,5000.0,695-699,10,.,1.0,6 years
43203.0,24000,23947.48,19.03%,60 months,debt_consolidation,3.63%,CA,RENT,7500.0,695-699,6,8568,1.0,10+ years
48319.0,7500,7500,8.90%,36 months,debt_consolidation,10.02%,DE,RENT,5500.0,715-719,9,2382,0.0,6 years
5367.0,17000,16875,11.83%,36 months,debt_consolidation,12.70%,GA,RENT,4583.33,735-739,5,3644,1.0,6 years
83768.0,12000,12000,17.27%,36 months,credit_card,14.86%,NJ,OWN,4583.33,665-669,12,9145,1.0,10+ years
88084.0,6000,6000,15.31%,36 months,other,15.91%,MN,RENT,3833.33,670-674,11,5760,1.0,10+ years
101540.0,6725,825,13.12%,36 months,debt_consolidation,13.16%,MO,MORTGAGE,5000.0,670-674,10,5513,9.0,10+ years
1494.0,1600,1600,10.83%,36 months,other,5.36%,RI,RENT,2427.0,700-704,5,7020,0.0,3 years
61703.0,10000,10000,17.77%,36 months,wedding,30.40%,NY,OWN,2500.0,665-669,5,8379,0.0,8 years
61576.0,18550,18525,7.90%,36 months,debt_consolidation,16.93%,GA,MORTGAGE,5416.67,725-729,10,28877,0.0,3 years
21993.0,7450,7450,13.06%,36 months,debt_consolidation,3.30%,WA,MORTGAGE,5883.33,710-714,2,6416,1.0,10+ years
58359.0,3225,3225,7.62%,36 months,debt_consolidation,17.79%,CA,MORTGAGE,5833.33,760-764,5,70323,1.0,10+ years
67335.0,23675,23675,17.77%,36 months,credit_card,29.94%,PA,OWN,6399.0,680-684,21,21920,0.0,10+ years
57080.0,12000,12000,12.12%,36 months,debt_consolidation,18.62%,VA,RENT,5833.33,690-694,16,18838,0.0,10+ years
30035.0,25000,25000,16.49%,36 months,debt_consolidation,18.18%,MA,RENT,6000.0,695-699,9,10630,2.0,7 years
103948.0,16000,15850,11.12%,36 months,credit_card,17.86%,CA,MORTGAGE,6666.67,725-729,7,18659,4.0,5 years
67158.0,10000,10000,14.09%,36 months,debt_consolidation,21.45%,CO,RENT,4583.33,675-679,11,8548,0.0,6 years
33777.0,6000,.,7.51%,36 months,home_improvement,2.52%,NJ,MORTGAGE,4800.0,750-754,.,1442,0.0,10+ years
59724.0,6000,6000,13.11%,36 months,debt_consolidation,15.33%,KS,RENT,3333.33,685-689,7,12503,2.0,2 years
67629.0,16000,15925,7.62%,36 months,debt_consolidation,6.48%,IL,MORTGAGE,6000.0,765-769,8,19539,0.0,
51929.0,9525,9500,15.81%,36 months,small_business,11.35%,CA,RENT,2666.67,670-674,15,5610,1.0,
13216.0,6000,6000,14.35%,36 months,debt_consolidation,14.08%,IL,MORTGAGE,2500.0,675-679,9,3621,3.0,< 1 year
103405.0,10000,9975,14.96%,36 months,debt_consolidation,11.50%,FL,MORTGAGE,5250.0,675-679,4,3035,5.0,2 years
53271.0,7000,7000,6.62%,36 months,major_purchase,8.03%,NM,MORTGAGE,10000.0,750-754,9,6761,1.0,6 years
25380.0,4500,4500,5.99%,36 months,debt_consolidation,18.48%,CA,MORTGAGE,10000.0,765-769,18,17863,3.0,6 years
6987.0,12000,12000,11.14%,36 months,debt_consolidation,2.37%,MD,MORTGAGE,12500.0,735-739,13,10944,0.0,5 years
96413.0,10375,10375,19.72%,36 months,debt_consolidation,4.99%,CT,RENT,4166.67,665-669,9,6122,1.0,5 years
88273.0,4800,4800,18.75%,36 months,other,10.89%,NM,MORTGAGE,5833.33,670-674,,17943,0.0,10+ years
48519.0,6400,6400,13.11%,36 months,credit_card,11.46%,LA,MORTGAGE,4666.67,700-704,7,8942,1.0,10+ years
69456.0,5000,5000,7.90%,36 months,debt_consolidation,17.22%,CA,OWN,4000.0,705-709,10,6023,0.0,10+ years
41198.0,12000,12000,6.62%,36 months,credit_card,21.66%,NC,RENT,5250.0,740-744,11,20639,0.0,< 1 year
44282.0,23850,23820.25,21.48%,60 months,other,18.75%,NY,MORTGAGE,4250.0,690-694,23,37251,0.0,4 years
34122.0,15000,15000,10.65%,36 months,small_business,16.15%,OH,MORTGAGE,7083.33,720-724,14,338,2.0,9 years
84563.0,8000,8000,7.62%,36 months,other,0%,NC,MORTGAGE,3500.0,765-769,7,0,1.0,
98634.0,20000,20000,6.03%,36 months,credit_card,18.67%,FL,MORTGAGE,14583.33,715-719,9,29044,0.0,7 years
82476.0,10000,10000,14.09%,36 months,debt_consolidation,10.59%,CA,RENT,2916.67,690-694,9,10390,3.0,< 1 year
67263.0,18825,18825,14.09%,36 months,credit_card,13.08%,MI,RENT,4000.0,710-714,6,20694,1.0,4 years
41267.0,35000,34975,7.90%,36 months,small_business,1.59%,IL,RENT,18333.33,775-779,10,1992,0.0,1 year
64884.0,9000,9000,6.03%,36 months,vacation,5.58%,NJ,MORTGAGE,9583.33,815-819,11,675,0.0,
18452.0,4000,4000,6.17%,36 months,home_improvement,15%,CT,RENT,4234.0,745-749,5,587,1.0,2 years
57866.0,5750,5750,13.99%,36 months,credit_card,12.44%,CA,RENT,5000.0,660-664,13,12465,0.0,10+ years
77151.0,20950,20950,15.80%,36 months,debt_consolidation,15.71%,MA,MORTGAGE,12916.67,690-694,8,30188,1.0,4 years
25405.0,8000,8000,10.99%,36 months,credit_card,14.76%,NY,RENT,7500.0,710-714,9,7120,2.0,< 1 year
85644.0,10000,10000,10.16%,36 months,debt_consolidation,9.30%,TX,MORTGAGE,3333.33,725-729,8,8940,2.0,
85686.0,10000,10000,14.09%,36 months,small_business,14.76%,NY,RENT,5000.0,675-679,7,4762,0.0,4 years
54649.0,14000,14000,6.03%,36 months,credit_card,19.53%,CT,MORTGAGE,6000.0,765-769,13,4140,0.0,8 years
19069.0,5000,5000,7.66%,36 months,credit_card,3.33%,RI,RENT,9000.0,735-739,3,12297,0.0,10+ years
74479.0,25000,25000,19.05%,60 months,debt_consolidation,10.53%,IL,MORTGAGE,6250.0,700-704,8,15159,1.0,9 years
76693.0,35000,35000,8.90%,36 months,debt_consolidation,14.62%,CA,RENT,10416.67,735-739,9,21321,0.0,10+ years
63266.0,7200,7175,11.14%,36 months,debt_consolidation,27.89%,OK,MORTGAGE,3750.0,690-694,8,20342,0.0,10+ years
32008.0,14000,14000,8.49%,60 months,debt_consolidation,9.89%,CA,MORTGAGE,9000.0,760-764,17,23773,0.0,4 years
13996.0,15000,14975,15.21%,36 months,debt_consolidation,19.10%,TX,RENT,5132.0,680-684,4,34044,1.0,3 years
80638.0,25000,25000,19.72%,60 months,debt_consolidation,32.10%,NY,OWN,4916.67,695-699,21,35208,1.0,7 years
36889.0,10800,10800,14.65%,36 months,debt_consolidation,7.89%,CA,RENT,9583.33,675-679,6,6487,1.0,< 1 year
72169.0,20000,20000,14.33%,36 months,credit_card,21.44%,GA,MORTGAGE,6250.0,700-704,9,14268,1.0,9 years
19548.0,4000,4000,10.74%,36 months,debt_consolidation,1.97%,KS,RENT,2900.0,695-699,13,1869,1.0,
103357.0,16000,15950,15.70%,36 months,debt_consolidation,23.51%,OH,MORTGAGE,9333.33,675-679,20,12721,5.0,10+ years
59117.0,1400,1400,9.76%,36 months,vacation,27.14%,NV,MORTGAGE,4683.33,730-734,6,6466,0.0,2 years
15427.0,7500,7500,16.32%,36 months,debt_consolidation,12.54%,CA,MORTGAGE,4600.0,665-669,3,6120,0.0,2 years
224.0,24625,917.28,14.07%,36 months,credit_card,12.81%,NY,MORTGAGE,10000.0,675-679,14,33698,0.0,8 years
85618.0,5000,5000,14.09%,36 months,debt_consolidation,29.02%,FL,MORTGAGE,5416.67,680-684,11,3977,1.0,< 1 year
43436.0,25000,24975,9.91%,36 months,debt_consolidation,20.49%,NY,RENT,7916.67,725-729,14,27203,0.0,1 year
19328.0,7500,7500,16.40%,36 months,debt_consolidation,13.34%,CA,RENT,4166.67,660-664,8,7430,0.0,< 1 year
65134.0,34500,34450,6.62%,36 months,small_business,16.46%,CA,MORTGAGE,10000.0,805-809,.,5317,0.0,9 years
20263.0,10000,10000,5.79%,36 months,debt_consolidation,6.49%,GA,MORTGAGE,12500.0,745-749,17,75629,0.0,1 year
9194.0,3200,3200,9.88%,36 months,debt_consolidation,6.51%,MA,RENT,4500.0,740-744,7,3198,0.0,5 years
27520.0,5500,5500,15.99%,60 months,debt_consolidation,17.95%,RI,RENT,4250.0,700-704,16,13256,0.0,10+ years
45941.0,3000,3000,9.76%,36 months,debt_consolidation,21.82%,VA,OWN,1100.0,720-724,4,2413,0.0,
69242.0,18000,18000,23.28%,60 months,debt_consolidation,9.05%,WI,RENT,7083.33,660-664,6,13106,0.0,10+ years
2633.0,10000,9700,9.63%,36 months,debt_consolidation,13.77%,OK,MORTGAGE,4190.0,735-739,6,1251,1.0,< 1 year
48662.0,8800,8800,13.11%,36 months,credit_card,16.73%,WI,RENT,3150.25,700-704,13,14266,1.0,4 years
65775.0,7000,7000,11.14%,36 months,debt_consolidation,23.02%,TX,MORTGAGE,6000.0,705-709,17,19634,2.0,6 years
92773.0,8000,8000,13.11%,36 months,debt_consolidation,19.01%,AK,RENT,2625.0,725-729,8,7554,1.0,5 years
33161.0,3000,3000,17.27%,36 months,credit_card,16.62%,SC,RENT,3833.33,660-664,4,4136,0.0,
37985.0,12000,11975,7.51%,36 months,debt_consolidation,11.91%,MD,RENT,7500.0,735-739,18,33702,1.0,10+ years
2791.0,3600,3575,14.11%,36 months,small_business,0.04%,WI,RENT,2500.0,725-729,4,1,0.0,3 years
81950.0,11625,11625,14.33%,36 months,debt_consolidation,22.84%,NY,MORTGAGE,2833.33,705-709,6,27411,2.0,8 years
84215.0,30000,30000,21.49%,36 months,credit_card,16.70%,MD,MORTGAGE,12500.0,670-674,14,19096,2.0,9 years
93352.0,16000,16000,8.90%,36 months,debt_consolidation,19.71%,CO,RENT,7083.33,720-724,11,6185,1.0,4 years
10474.0,10800,10700,10.75%,36 months,major_purchase,15.32%,FL,MORTGAGE,8400.0,715-719,6,24675,0.0,10+ years
15717.0,25000,23655.48,16.69%,60 months,debt_consolidation,14.11%,CO,MORTGAGE,7666.67,705-709,15,28748,3.0,8 years
103874.0,10000,10000,13.98%,60 months,other,14.86%,MO,RENT,3916.67,710-714,9,5188,4.0,4 years
132.0,12375,275,10.91%,36 months,small_business,16.39%,VA,MORTGAGE,3892.75,690-694,11,8332,2.0,3 years
5169.0,6000,6000,11.48%,36 months,credit_card,18.20%,NY,MORTGAGE,5031.67,705-709,9,50935,0.0,10+ years
29812.0,8000,8000,13.49%,36 months,debt_consolidation,14.92%,CO,RENT,5000.0,685-689,18,4786,1.0,2 years
56991.0,15000,15000,18.25%,36 months,credit_card,9.73%,GA,MORTGAGE,5000.0,660-664,11,14596,0.0,8 years
22858.0,8400,8400,6.92%,36 months,renewable_energy,13.30%,MD,RENT,3000.0,745-749,9,6998,1.0,1 year
78602.0,15000,15000,7.90%,36 months,debt_consolidation,18.62%,PA,MORTGAGE,4500.0,740-744,10,17212,0.0,7 years
93778.0,15000,14925,14.33%,36 months,debt_consolidation,13.30%,TX,RENT,5000.0,665-669,7,11368,1.0,< 1 year
92105.0,7750,7750,16.29%,36 months,debt_consolidation,26.74%,FL,MORTGAGE,2916.67,680-684,18,17102,0.0,5 years
59387.0,4500,4500,8.90%,36 months,credit_card,18.18%,UT,RENT,2166.67,700-704,8,5361,0.0,4 years
6067.0,17500,17375,12.53%,36 months,debt_consolidation,21.63%,CO,RENT,3666.67,715-719,7,20010,0.0,6 years
62445.0,18000,18000,15.31%,60 months,debt_consolidation,4.93%,CA,RENT,5258.5,710-714,6,11596,0.0,10+ years
35834.0,15000,14975,15.27%,60 months,debt_consolidation,17.90%,PA,MORTGAGE,2748.0,720-724,14,7956,1.0,6 years
68821.0,11500,11475,11.14%,36 months,credit_card,28.25%,CA,RENT,2750.0,700-704,6,9079,0.0,5 years
96988.0,10000,10000,13.11%,36 months,credit_card,7.56%,PA,RENT,2500.0,685-689,8,10906,0.0,7 years
53897.0,10000,10000,12.12%,36 months,debt_consolidation,18.40%,CA,MORTGAGE,5000.0,685-689,7,13202,0.0,10+ years
40136.0,35000,34975,21.28%,60 months,debt_consolidation,18.21%,AL,RENT,7916.67,680-684,8,19789,2.0,10+ years
14952.0,7200,7100,10.38%,60 months,major_purchase,17.97%,PA,RENT,3000.0,750-754,7,2753,1.0,2 years
40856.0,4000,3975,7.90%,60 months,car,4.48%,TX,OWN,4000.0,800-804,16,6696,0.0,< 1 year
4938.0,5300,5200,11.14%,36 months,debt_consolidation,8.47%,UT,MORTGAGE,8333.33,740-744,5,73258,1.0,3 years
59272.0,1200,1200,7.62%,36 months,other,8.69%,NY,MORTGAGE,3833.33,730-734,14,350,1.0,7 years
80512.0,2500,2500,11.14%,36 months,major_purchase,10.08%,CA,RENT,4333.33,720-724,4,4922,0.0,3 years
82071.0,17000,16975,14.33%,36 months,debt_consolidation,26.35%,MN,OWN,7500.0,700-704,21,39130,3.0,10+ years
90748.0,16000,16000,7.90%,36 months,credit_card,12.30%,CA,MORTGAGE,8416.67,695-699,14,21913,1.0,5 years
42319.0,10000,9950,12.69%,36 months,debt_consolidation,3.80%,CA,MORTGAGE,6666.67,695-699,8,7967,1.0,3 years
81914.0,5000,5000,10.16%,36 months,debt_consolidation,24.50%,AL,MORTGAGE,6250.0,700-704,9,33705,0.0,6 years
97954.0,4375,4375,19.05%,36 months,credit_card,9.09%,CA,RENT,2916.67,670-674,9,6944,2.0,6 years
41074.0,8500,8475,6.03%,36 months,home_improvement,12.33%,MO,MORTGAGE,6100.0,745-749,17,6370,0.0,10+ years
30600.0,12000,12000,16.89%,60 months,small_business,15.24%,OH,MORTGAGE,7500.0,675-679,14,28589,2.0,3 years
4909.0,6200,6100,8.59%,36 months,other,19.10%,WI,RENT,5000.0,740-744,17,9367,0.0,1 year
63340.0,7000,7000,18.49%,36 months,debt_consolidation,18.90%,AR,MORTGAGE,2000.0,660-664,10,7315,2.0,1 year
35313.0,20800,20800,12.69%,60 months,debt_consolidation,7.08%,GA,MORTGAGE,6541.67,730-734,9,13197,0.0,1 year
45225.0,19200,19200,13.11%,60 months,other,3.45%,IL,MORTGAGE,8333.33,745-749,14,50625,3.0,2 years
71142.0,15000,15000,19.05%,36 months,debt_consolidation,24.88%,AZ,RENT,6000.0,675-679,12,12162,0.0,1 year
5282.0,7000,6965.1,19.47%,36 months,debt_consolidation,17.08%,NJ,RENT,5000.0,665-669,11,13859,0.0,3 years
52333.0,20000,20000,8.90%,36 months,credit_card,17.08%,CO,RENT,4916.67,730-734,10,14952,2.0,4 years
15274.0,2000,2000,6.17%,36 months,moving,18.35%,WA,RENT,5733.58,745-749,9,21998,0.0,3 years
32037.0,18000,17738.58,10.59%,60 months,major_purchase,15.03%,OH,MORTGAGE,4000.0,755-759,9,6718,0.0,10+ years
6528.0,20800,20775,11.48%,36 months,home_improvement,21.77%,CA,OWN,11666.67,790-794,6,682,1.0,10+ years
10487.0,9000,8875,7.88%,36 months,debt_consolidation,14.51%,MA,MORTGAGE,5708.33,725-729,9,12217,0.0,7 years
64690.0,6000,6000,14.09%,36 months,credit_card,22.50%,UT,RENT,2666.67,670-674,18,5955,0.0,10+ years
66605.0,5000,5000,15.80%,36 months,debt_consolidation,34.20%,CA,RENT,3750.0,665-669,18,5414,3.0,3 years
18512.0,12000,11975,14.83%,60 months,credit_card,22.31%,CA,RENT,4186.0,685-689,9,9398,0.0,3 years
1173.0,7000,1998,8.00%,36 months,credit_card,6.36%,AZ,MORTGAGE,7583.33,750-754,9,21135,0.0,10+ years
22150.0,6000,5950,10.00%,36 months,major_purchase,8.74%,FL,MORTGAGE,15416.67,715-719,9,105730,1.0,10+ years
104008.0,17000,16975,13.98%,36 months,debt_consolidation,17.65%,TX,MORTGAGE,9166.67,700-704,14,16230,4.0,3 years
4665.0,12000,11975,8.94%,36 months,credit_card,18.99%,TX,RENT,4750.0,750-754,13,25577,1.0,4 years
43053.0,16350,16350,7.90%,36 months,credit_card,25.03%,MN,OWN,4541.67,730-734,7,25731,0.0,9 years
59192.0,20000,20000,7.90%,36 months,debt_consolidation,20.04%,TX,MORTGAGE,4625.0,755-759,14,31335,1.0,10+ years
80538.0,12300,12300,12.12%,36 months,debt_consolidation,10.01%,CA,RENT,6583.33,690-694,15,12450,0.0,1 year
48236.0,14500,14500,7.90%,36 months,credit_card,11.96%,IL,RENT,4500.0,735-739,8,16398,0.0,6 years
51833.0,4200,4200,8.90%,36 months,debt_consolidation,10.43%,CA,MORTGAGE,2254.0,700-704,7,4490,0.0,
69446.0,22250,22250,14.09%,36 months,credit_card,32.10%,MN,MORTGAGE,6583.33,690-694,18,44868,0.0,10+ years
18161.0,8000,8000,14.09%,36 months,home_improvement,7.68%,IL,RENT,25000.0,675-679,6,28579,1.0,8 years
78856.0,8325,8325,17.77%,36 months,debt_consolidation,20.75%,MO,RENT,2000.0,665-669,7,7676,0.0,< 1 year
48412.0,14000,14000,13.11%,36 months,debt_consolidation,8.12%,CA,OWN,10416.67,730-734,4,4776,0.0,7 years
60192.0,9000,9000,10.16%,36 months,debt_consolidation,3.98%,MD,MORTGAGE,6000.0,705-709,6,5659,0.0,7 years
97275.0,16000,16000,13.11%,36 months,credit_card,17.61%,GA,MORTGAGE,6083.33,680-684,13,15148,0.0,2 years
103218.0,15200,13694.22,11.14%,36 months,credit_card,14.50%,AZ,MORTGAGE,7916.67,760-764,7,217827,2.0,6 years
39722.0,24000,24000,10.65%,36 months,debt_consolidation,14.80%,CA,RENT,3750.0,725-729,5,24708,0.0,10+ years
54880.0,16450,16450,15.31%,36 months,debt_consolidation,11.66%,OH,MORTGAGE,6666.67,685-689,8,12697,3.0,9 years
81508.0,7500,7500,12.12%,36 months,home_improvement,26.56%,NH,MORTGAGE,5000.0,710-714,8,9047,1.0,10+ years
98671.0,4750,4750,22.47%,36 months,debt_consolidation,24.45%,UT,RENT,1333.33,665-669,9,4752,2.0,< 1 year
80765.0,6500,6500,7.90%,36 months,debt_consolidation,12.56%,AR,RENT,6750.0,720-724,17,33229,0.0,8 years
103835.0,5500,5450,18.67%,60 months,debt_consolidation,17.71%,NY,RENT,1750.0,660-664,6,4492,6.0,2 years
59041.0,9600,9600,6.03%,36 months,home_improvement,7.52%,AL,MORTGAGE,6250.0,750-754,7,765,0.0,< 1 year
62747.0,12000,11975,12.12%,36 months,major_purchase,31.34%,NY,OWN,4166.67,710-714,21,28703,2.0,3 years
99360.0,18000,18000,24.89%,60 months,moving,14.88%,VT,RENT,4000.0,665-669,10,7377,3.0,8 years
79126.0,5825,5825,12.12%,36 months,home_improvement,4%,AR,OWN,3750.0,690-694,4,5643,0.0,1 year
103249.0,2500,2500,15.31%,36 months,home_improvement,22.81%,VA,RENT,2530.0,670-674,7,5276,6.0,< 1 year
43700.0,7200,7200,19.91%,60 months,other,2%,NY,RENT,5500.0,660-664,13,2130,0.0,9 years
83155.0,8000,8000,14.33%,36 months,other,11.85%,MD,RENT,3941.58,670-674,15,9660,0.0,2 years
16446.0,25000,24675,20.77%,60 months,home_improvement,19.12%,TX,MORTGAGE,6000.0,665-669,17,12757,2.0,10+ years
84110.0,2500,2500,14.09%,36 months,medical,20.95%,NY,RENT,2666.67,665-669,9,15787,0.0,
94386.0,6250,6250,13.11%,36 months,debt_consolidation,28.61%,CT,RENT,1779.17,720-724,19,7455,1.0,3 years
