REF_NO,children,age_band,status,occupation,occupation_partner,home_status,family_income,self_employed,self_employed_partner,year_last_moved,TVarea,post_code,post_area,Average Credit Card Transaction,Balance Transfer,Term Deposit,Life Insurance,Medical Insurance,Average A/C Balance,Personal Loan,Investment in Mutual Fund,Investment Tax Saving Bond,Home Loan,Online Purchase Amount,Revenue Grid,gender,region,Investment in Commudity,Investment in Equity,Investment in Derivative,Portfolio Balance
13,Zero,61-65,Partner,Retired,Retired,Own Home,"<12,500, >=10,000",No,No,1987,Granada,LL18 3BB,LL18,0,24.99,0,0,0,0,0,0,0,5.99,0,2,Female,Wales,5,1,0,-18.84
14,Zero,45-50,Partner,Business Manager,Professional,Own Home,">=35,000",No,No,1986,HTV,SA73 1AX,SA73,0,118.98,0,92.46,0,0,0,113.46,0,9.99,0,2,Female,Wales,42.29,20.58,34.32,129.71
15,Zero,51-55,Widowed,Professional,Unknown,Own Home,">=35,000",No,No,1997,Meridian,L7 5QN,L7,0,49.47,59.48,235.78,9.48,95.93,0,51.95,0,4.48,12.98,2,Female,North West,70.84,27.56,65.52,175.41
16,Zero,31-35,Single/Never Married,Manual Worker,Secretarial/Admin,Own Home,"<25,000, >=22,500",No,No,1998,Central,GL2 4WP,GL2,16.98,25.99,219.46,34.48,102.45,49.99,50.96,17.99,2,0,0,2,Male,South West,79.87,20.16,42.98,77.14
17,1,31-35,Partner,Secretarial/Admin,Business Manager,Own Home,"<30,000, >=27,500",No,No,1994,Central,B77 4NU,B77,117.48,69.97,82.97,77.96,0,11.49,45.98,19.47,7.49,18.46,13.98,2,Female,West Midlands,69.68,19.48,27.07,78.41
18,Zero,26-30,Partner,Unknown,Professional,Own Home,">=35,000",Yes,No,1998,Scottish TV,ML10 6XH,ML10,0,99.96,39.48,135.41,44.48,56.46,0,123.39,0,39.96,0,2,Female,Scotland,63.87,36.64,59.96,115.89
19,Zero,41-45,Partner,Secretarial/Admin,Unknown,Own Home,">=35,000",No,Yes,1986,Central,CV11 6YH,CV11,19.99,9.98,29.48,73.95,30.48,78.96,26.47,99.13,0,0,0,2,Female,West Midlands,32.78,34.09,51.5,129.15
20,Zero,41-45,Divorced/Separated,Professional,Unknown,Own Home,"<25,000, >=22,500",No,No,1974,Central,CV31 2RQ,CV31,34.49,182.47,0,131.94,0,112.46,0,48.97,0,0,27.99,2,Female,West Midlands,69.78,31.57,48.9,150.56
21,1,41-45,Partner,Secretarial/Admin,Manual Worker,Own Home,"<12,500, >=10,000",No,No,1983,Central,WV15 5AY,WV15,35.48,0,0,122.45,39.47,47.45,63.93,86.43,12.49,21.46,0,2,Female,West Midlands,39.48,38.63,62.04,134.44
23,Zero,41-45,Divorced/Separated,Secretarial/Admin,Unknown,Own Home,"<10,000, >= 8,000",No,No,1997,HTV,TA2 6HY,TA2,0,61.98,44.98,189.42,26.45,22.96,0,232.33,0,0,16.99,2,Female,South West,64.57,45.38,78.53,207.07
26,Zero,26-30,Partner,Professional,Professional,Own Home,">=35,000",No,No,1995,Central,NN6 0EE,NN6,0,0.02,0,75.96,0,4.99,0,25.48,0,0,0,2,Female,East Midlands,15.2,5.08,17.74,27.95
27,2,31-35,Partner,Business Manager,Business Manager,Own Home,">=35,000",No,No,1992,Meridian,M31 6SJ,M31,0,0,0,20.99,0,0,0,0,0,0,0,2,Female,North West,4.2,0,3.5,-0.2
28,Zero,71+,Partner,Retired,Retired,Own Home,"<22,500, >=20,000",No,No,1972,HTV,TA11 7HD,TA11,56.45,60.49,113.95,59.95,85.44,292.73,0,37.47,9.99,0,0,2,Female,South West,75.26,56.7,80.93,144.84
29,3,36-40,Partner,Business Manager,Professional,Own Home,"<27,500, >=25,000",No,Yes,1988,Scottish TV,EH23 4HG,EH23,76.42,24.49,150.37,55.98,143.9,30.41,109.65,65.45,25.61,31.43,45.98,2,Male,Scotland,90.23,51.42,71.83,181.1
30,1,26-30,Partner,Secretarial/Admin,Business Manager,Own Home,">=35,000",No,No,1999,Yorkshire,WF17 8EQ,WF17,0,57.98,0,126.42,87.45,75.97,0,59.45,0,0,0,2,Female,Unknown,54.37,22.57,58.22,130.59
31,1,22-25,Partner,Secretarial/Admin,Manual Worker,Own Home,"<22,500, >=20,000",No,Yes,1994,Meridian,TN15 8DN,TN15,0,42.98,0,39.97,0,3.99,0,78.95,19.49,20.76,0,2,Female,South East,16.59,20.53,23.73,48.8
33,1,45-50,Partner,Manual Worker,Unknown,Own Home,"<17,500, >=15,000",No,Yes,1983,Central,LE16 7LD,LE16,159.45,24.99,0,0,63.94,86.96,0,23.48,0,0,0,2,Male,East Midlands,49.68,18.41,29.06,82.9
34,Zero,22-25,Partner,Professional,Professional,Own Home,">=35,000",No,Yes,1990,HTV,TA20 1LB,TA20,0,0,0,20.49,46.96,9.48,24.99,34.98,5.99,8.69,24.95,2,Female,South West,13.49,18.18,23.82,103.29
35,Zero,65-70,Widowed,Retired,Unknown,Own Home,"<15,000, >=12,500",No,No,1994,Grampian,AB43 8WX,AB43,92.94,0,0,0,71.95,0,0,0,9.99,11.47,0,2,Female,Scotland,32.98,3.58,13.66,13.55
36,2,36-40,Partner,Secretarial/Admin,Business Manager,Own Home,">=35,000",No,No,1987,Yorkshire,LS17 9BG,LS17,0,378.31,146.42,111.85,57.96,18.46,37.93,145.35,7.97,23.96,15.96,2,Female,Unknown,138.91,41.61,63.25,193.58
37,Zero,41-45,Partner,Professional,Professional,Own Home,">=35,000",No,No,1977,Meridian,TN5 6NE,TN5,61.97,50.98,19.49,115.94,69.96,215.85,0,104.43,16.46,44.94,23.96,2,Male,South East,63.67,67.61,87.11,230.91
38,Zero,61-65,Partner,Retired,Housewife,Own Home,"<27,500, >=25,000",Yes,No,1997,Meridian,SP8 5ET,SP8,109.42,224.45,139.41,229.8,29.96,210.71,58.93,161.86,27.16,14.93,11.99,1,Male,South West,146.61,80.93,119.74,313.41
39,1,41-45,Partner,Business Manager,Housewife,Own Home,"<25,000, >=22,500",No,No,1989,TV South West,EX37 9TY,EX37,0,78.97,0,105.95,0,11.99,0,119.43,1,0,59.01,2,Male,South West,36.98,31.91,39.73,70.34
40,2,36-40,Partner,Manual Worker,Other,Own Home,"< 8,000, >= 4,000",No,No,1990,TV South West,EX23 9PU,EX23,0,89.97,19.99,78.46,16.99,27.41,0,51.41,0,0,0,2,Female,South West,41.08,13.14,29.05,99.5
41,1,55-60,Partner,Secretarial/Admin,Business Manager,Own Home,"<25,000, >=22,500",No,No,1987,Yorkshire,LN5 9TB,LN5,63.45,17.99,0,20.99,9.98,11.98,0,0,0,6.23,0,2,Female,East Midlands,22.48,3.04,7.16,35.83
42,Zero,22-25,Single/Never Married,Secretarial/Admin,Unknown,Own Home,"<12,500, >=10,000",No,No,1990,HTV,CF42 6NR,CF42,13.49,0,14.99,0,15.48,0,70.42,0,0,0,0,2,Female,Wales,8.79,11.74,14.32,1.44
43,Zero,51-55,Partner,Housewife,Manual Worker,Own Home,"<25,000, >=22,500",No,No,1995,Central,DE14 2BP,DE14,0,16.97,19.48,60.46,0,0,64.44,43.48,1,0,0,2,Female,West Midlands,19.38,18.15,28.23,80.05
44,2,36-40,Partner,Secretarial/Admin,Professional,Own Home,">=35,000",No,No,1988,Anglia,CB1 6SA,CB1,0,29.49,24.49,70.95,5.99,3.49,37.98,19.98,4.99,0,0,2,Female,East Anglia,26.18,11.07,23.9,63.26
45,1,45-50,Partner,Professional,Retired,Own Home,"<25,000, >=22,500",No,No,1993,Meridian,L31 8QY,L31,0,0.02,23.98,284.76,4.99,227.86,17.99,192.77,0,21.19,44.47,2,Female,North West,62.75,84.05,121.4,273.56
46,Zero,61-65,Partner,Housewife,Professional,Own Home,"<27,500, >=25,000",No,No,1979,Ulster,BT37 0RJ,BT37,0,34.98,0,69.95,13.96,0,0,67.44,0,0,0,2,Female,Northern Ireland,23.78,11.24,25.23,82.92
47,Zero,41-45,Partner,Secretarial/Admin,Manual Worker,Own Home,"<30,000, >=27,500",No,No,1982,Scottish TV,FK2 8DL,FK2,0,99.98,0,17.99,0,0,0,0,0,0,0,2,Female,Scotland,23.59,0,3,83.66
49,Zero,45-50,Partner,Retired,Retired,Own Home,">=35,000",Yes,No,1998,Granada,LL11 5LP,LL11,97.45,0,113.44,8,0,18.98,172.63,79.44,0,0,4.99,2,Female,Wales,43.78,46.01,46.51,48.83
50,Zero,61-65,Partner,Professional,Professional,Own Home,"<25,000, >=22,500",No,No,1968,HTV,SA6 6AT,SA6,0,94.44,0,0.53,0,5.99,0,31.47,0,0,0,2,Male,Wales,18.99,6.24,6.33,-0.63
51,Zero,65-70,Widowed,Retired,Retired,Own Home,"<10,000, >= 8,000",No,No,1968,Granada,OL16 2XG,OL16,0,171.44,0,105.91,39.98,53.48,0,92.91,2.99,0,26.94,2,Female,North West,63.47,29.39,49.21,141.04
52,Zero,51-55,Partner,Secretarial/Admin,Secretarial/Admin,Own Home,"<22,500, >=20,000",No,No,1983,Anglia,CB1 6UG,CB1,0,0,39.49,23.96,0,29.99,0,0,0,3.98,0,2,Female,East Anglia,12.69,5.66,8.99,34.21
53,Zero,31-35,Partner,Secretarial/Admin,Manual Worker,Own Home,">=35,000",No,No,1935,Carlton,PR11 9QF,PR11,88.46,171.41,103.97,129.43,96.94,23.95,0,135.41,0,29.49,404.39,1,Female,North West,118.04,98.87,64.29,311.78
54,2,36-40,Partner,Housewife,Manual Worker,Own Home,"<22,500, >=20,000",No,No,1975,Central,MK19 7NW,MK19,0,135.46,0,209.89,19.28,16.98,0,85.44,0,0,0,2,Female,South East,72.93,17.07,55.27,127.36
55,Zero,31-35,Single/Never Married,Secretarial/Admin,Secretarial/Admin,Own Home,"<27,500, >=25,000",No,No,1997,Carlton,PR12 5RR,PR12,99.47,49.98,19.99,107.96,14.99,94.44,25.98,135.42,20.95,0,0,2,Male,North West,58.48,46.13,66.62,203.69
56,2,41-45,Divorced/Separated,Housewife,Unknown,Own Home,"< 8,000, >= 4,000",No,No,1997,Meridian,BH12 4DN,BH12,0,48.99,0,63.47,0,36.98,0,0,0,0,11.99,2,Female,South West,22.49,8.16,16.74,-4.33
57,Zero,55-60,Divorced/Separated,Secretarial/Admin,Unknown,Own Home,"<12,500, >=10,000",No,No,1999,Granada,PR5 5LZ,PR5,11.49,0,0,0,0,0,0,0,0,0,0,2,Female,North West,2.3,0,0,-8.24
58,3,26-30,Single/Never Married,Secretarial/Admin,Professional,Own Home,">=35,000",No,No,1993,Granada,LL18 2NW,LL18,0,0,0,0,42.46,0,0,0,0,0,0,2,Female,Wales,8.49,0,7.08,1.26
59,Zero,45-50,Partner,Professional,Professional,Own Home,"<27,500, >=25,000",No,No,1986,Meridian,BH19 1RB,BH19,0,24.99,0,27.99,0,0,0,0,0,0,0,2,Female,South West,10.6,0,4.67,16.52
60,Zero,36-40,Single/Never Married,Business Manager,Professional,Own Home,">=35,000",No,No,1996,HTV,LL31 9EF,LL31,0,89.99,84.99,150.95,0,0,0,39.97,0,0,0,2,Female,Wales,65.19,6.66,31.82,134.33
61,1,41-45,Partner,Professional,Secretarial/Admin,Own Home,"<17,500, >=15,000",No,No,1977,Granada,LL14 1SW,LL14,0,0,23.48,84.97,44.49,85.45,30.96,0,5.99,22.7,659.92,1,Female,Wales,30.59,134.17,41.98,214.7
62,2,41-45,Partner,Professional,Secretarial/Admin,Own Home,">=35,000",Yes,No,1983,Meridian,RG41 3AZ,RG41,0,0.01,44.48,28.61,5.99,3.95,43.46,89.86,14.47,0,11.49,2,Male,South East,15.82,27.21,31.06,83.99
63,1,26-30,Partner,Professional,Professional,Own Home,"<30,000, >=27,500",No,No,1996,HTV,GL6 6HL,GL6,78.48,27.99,34.49,32.98,40.15,0,20.98,0,0,0,14.99,2,Male,South West,42.82,6,15.69,116.33
64,Zero,55-60,Partner,Manual Worker,Secretarial/Admin,Own Home,"<20,000, >=17,500",No,No,1987,Granada,BB5 2TU,BB5,0,0,0,0,11.47,0,0,0,0,0,0,2,Male,North West,2.29,0,1.91,8.89
65,Zero,61-65,Partner,Retired,Retired,Own Home,"<25,000, >=22,500",No,No,1971,Carlton,AL4 9SJ,AL4,0,49.42,0,145.7,0,84.86,6.99,115.85,4.97,24.45,2.48,2,Female,South East,39.02,39.93,59.73,164.39
67,Zero,45-50,Partner,Housewife,Manual Worker,Own Home,"<17,500, >=15,000",No,No,1994,Scottish TV,KY2 6QX,KY2,0,45,39.49,64.98,15.48,13.47,0,113.89,0,0,5.99,2,Female,Scotland,32.99,22.23,34.64,87.79
68,3,36-40,Partner,Housewife,Professional,Own Home,">=35,000",No,No,1905,Meridian,RH17 5JJ,RH17,0,93.97,0,117.93,11.48,19.99,11.99,25.98,24.99,4.99,0,2,Female,South East,44.68,14.66,35.39,132.19
69,1,31-35,Divorced/Separated,Housewife,Business Manager,Own Home,">=35,000",No,No,1997,Meridian,RG42 2QG,RG42,0,0,0,85.45,0,0,0,61.47,0,0,0,2,Female,South East,17.09,10.25,24.49,33.31
70,1,36-40,Partner,Unknown,Unknown,Rent from Council/HA,"<27,500, >=25,000",Yes,No,1986,Carlton,EN2 7LD,EN2,0.01,99.97,59.46,171.35,23.97,109.92,13.97,94.83,14,6.99,336.38,1,Female,South East,70.95,96.02,71.34,235.28
71,Zero,61-65,Widowed,Retired,Unknown,Own Home,"<15,000, >=12,500",No,No,1956,Central,NG9 5HX,NG9,0,0,23.98,0,9.99,7.97,0,17.47,0,5.98,37.47,2,Female,East Midlands,6.79,11.48,5.91,45.88
72,1,26-30,Partner,Professional,Business Manager,Own Home,">=35,000",No,No,1990,Central,DE21 2TN,DE21,0,0,0,77.46,4.99,48.42,160.44,161.88,53.44,0,0,2,Male,East Midlands,16.49,70.7,84.44,194.27
73,2,45-50,Partner,Professional,Secretarial/Admin,Own Home,">=35,000",No,No,1979,Granada,M33 5DX,M33,0,47.48,11.49,61.96,0,0,63.4,0,0,0,0,2,Female,North West,24.19,10.57,20.89,73.94
74,Zero,51-55,Partner,Other,Other,Own Home,"<25,000, >=22,500",Yes,Yes,1986,TV South West,TQ4 7SP,TQ4,0,59.98,0,98.46,0,0,0,29.98,0,0,0,2,Female,South West,31.69,5,21.41,44.34
75,Zero,31-35,Single/Never Married,Professional,Professional,Own Home,">=35,000",No,No,1992,Granada,M46 9LU,M46,0,19.99,25.98,131.44,9.99,43.98,61.96,0,3,10.99,0,2,Male,North West,37.48,19.99,41.73,77.28
76,2,36-40,Partner,Professional,Professional,Own Home,">=35,000",No,No,1980,Tyne Tees,DH8 0EU,DH8,0,94.47,34.48,59.96,7.48,17.47,0,0,14.47,0,0.01,2,Female,North,39.28,5.33,16.56,80.47
77,1,55-60,Partner,Unknown,Unknown,Own Home,">=35,000",Yes,Yes,1995,Central,GL2 8HU,GL2,0,0,20.99,34.99,37.45,0,21.99,14.95,0,0,24.98,2,Male,South West,18.69,10.32,18.23,24.45
78,3,41-45,Partner,Housewife,Professional,Own Home,">=35,000",No,Yes,1994,Scottish TV,ML5 1EL,ML5,6.99,0,0,0,5.59,21.47,0,23.98,0,2.24,0,2,Female,Scotland,2.52,7.95,8.51,-3.91
79,1,45-50,Partner,Professional,Professional,Own Home,">=35,000",No,Yes,1986,Meridian,L17 3AG,L17,44.98,35,0,0.01,46.93,16.48,19.48,43.46,10.98,0,0,2,Male,North West,25.38,15.07,22.89,85.2
80,Zero,26-30,Partner,Business Manager,Manual Worker,Own Home,">=35,000",No,No,1997,Central,NG10 2BN,NG10,0,0,0,13.99,0,0,0,11.99,15.98,5.73,0,2,Female,East Midlands,2.8,5.62,6.99,25.87
81,Zero,51-55,Partner,Professional,Professional,Own Home,"<27,500, >=25,000",No,No,1996,Meridian,PO7 6EA,PO7,0,0,25.98,0,0,0,205.8,61.88,43.92,9.49,45.95,2,Male,South East,5.2,61.17,51.93,147.88
82,Zero,55-60,Partner,Retired,Retired,Own Home,"<10,000, >= 8,000",No,No,1990,Grampian,IV36 2SA,IV36,0,28,19.99,69.46,0,57.89,0,102.43,0,9.98,25.48,2,Female,Scotland,23.49,32.63,38.3,70.35
83,2,36-40,Partner,Unknown,Unknown,Own Home,"< 8,000, >= 4,000",Yes,Yes,1996,Central,B90 2PQ,B90,0,0,0,0,0,0,0,0,0,0,0,2,Female,West Midlands,0,0,0,22.82
84,2,31-35,Partner,Secretarial/Admin,Professional,Own Home,">=35,000",No,No,1987,Central,CV22 7SJ,CV22,159.43,0,89.97,0,105.42,0,0,0,0,0,0,2,Female,West Midlands,70.96,0,17.57,105.33
85,1,36-40,Partner,Housewife,Manual Worker,Own Home,"<22,500, >=20,000",Yes,No,1984,Meridian,SO31 8ER,SO31,11.99,51.96,94.48,31.49,11.46,0,10.49,85.45,0,0,0,2,Female,South East,40.28,15.99,23.15,84.37
87,Zero,41-45,Single/Never Married,Secretarial/Admin,Unknown,Own Home,"<15,000, >=12,500",No,No,1953,Scottish TV,G65 9NR,G65,0,0,0,22.99,0,17.99,0,13.99,0,45.39,0,2,Female,Scotland,4.6,12.9,9.16,-12.61
88,3,31-35,Partner,Housewife,Professional,Own Home,"<27,500, >=25,000",No,No,1995,Central,ST14 8UX,ST14,0,0,0,11.99,0,2.99,0,0,0,0,0,2,Female,West Midlands,2.4,0.5,2.5,-8.72
89,Zero,45-50,Partner,Professional,Unknown,Own Home,"<27,500, >=25,000",No,Yes,1976,Yorkshire,YO25 3TU,YO25,0,164.97,81.97,212.84,12.77,5.49,0,13.99,28.49,2.98,2.49,1,Female,Unknown,94.51,8.91,45.6,135.12
90,1,36-40,Partner,Secretarial/Admin,Professional,Own Home,"<27,500, >=25,000",No,Yes,1989,Central,OX8 5JR,OX8,0,111.48,0,20.49,24.49,14.48,0,92.92,0,9.99,78.96,1,Female,South East,31.29,32.73,25.4,91.73
91,1,41-45,Divorced/Separated,Secretarial/Admin,Unknown,Own Home,"<22,500, >=20,000",No,No,1984,Carlton,RM14 3TJ,RM14,0,0,0,0,0,11.98,0,0,0,0,0,2,Female,South East,0,2,2,15.55
92,1,36-40,Partner,Professional,Business Manager,Own Home,"<30,000, >=27,500",No,No,1982,Granada,CH5 4UB,CH5,156.47,0,88.97,15.99,55.44,25.96,11.98,138.92,8.47,0,0,1,Female,Wales,63.37,30.89,42.79,111.15
94,Zero,45-50,Partner,Other,Other,Own Home,"< 4,000",No,No,1994,Ulster,BT43 7DT,BT43,53.98,244.9,19.99,65.96,11.47,111.39,0,235.83,0,12.46,0,2,Female,Northern Ireland,79.26,59.95,70.78,183.71
96,Zero,55-60,Partner,Secretarial/Admin,Manual Worker,Own Home,"<27,500, >=25,000",No,No,1988,Anglia,PE37 8BS,PE37,325.39,27.49,0,108.43,55.98,73.37,8.47,167.34,0,23.45,215.42,1,Female,East Anglia,103.46,81.34,68.93,271
97,Zero,55-60,Partner,Housewife,Professional,Own Home,">=35,000",No,No,1997,Tyne Tees,NE45 5LY,NE45,11.99,73.97,0,53.48,14.98,102.97,0,0,0,0,0,2,Female,North,30.88,17.16,28.57,107.37
98,Zero,26-30,Partner,Manual Worker,Manual Worker,Own Home,">=35,000",No,No,1996,Central,B98 0BJ,B98,0,48.97,49.98,133.95,9.49,99.94,0,7.99,0,13.97,0,2,Male,West Midlands,48.48,20.32,41.9,48.4
99,Zero,26-30,Partner,Business Manager,Business Manager,Own Home,">=35,000",No,No,1997,Carlton,CM3 2NP,CM3,0,193.46,19.48,36.97,0,46.98,0,0,19.44,0,33.95,2,Male,South East,49.98,16.73,17.23,100.83
100,Zero,22-25,Partner,Business Manager,Professional,Own Home,">=35,000",Yes,No,1994,Carlton,HP15 7UN,HP15,0,26,0,0,0,9.97,0,73.96,0,0,0,2,Female,South East,5.2,13.99,13.99,30.89
101,3,41-45,Widowed,Business Manager,Unknown,Own Home,"<15,000, >=12,500",No,No,1979,Central,B62 8TQ,B62,0,0,0.02,0,59.47,0,0,0,0,0,0,2,Female,West Midlands,11.9,0,9.91,22.43
102,Zero,36-40,Partner,Business Manager,Professional,Rent Privately,">=35,000",No,No,1990,Scottish TV,KY11 3EE,KY11,34.49,39.45,0,11.97,0,0.01,11.19,10,0,0,0.05,2,Female,Scotland,17.18,3.54,5.53,38.28
103,Zero,22-25,Partner,Professional,Manual Worker,Own Home,">=35,000",No,No,1992,Grampian,AB42 0NW,AB42,0,45.98,0,0,0,0,0,0,0,0,0,2,Female,Scotland,9.2,0,0,61
104,Zero,22-25,Single/Never Married,Secretarial/Admin,Unknown,Own Home,"<15,000, >=12,500",No,No,1987,Anglia,NR30 5XE,NR30,0,0,19.99,0,0,0,0,0,0,0,0,2,Female,East Anglia,4,0,0,4.98
106,Zero,65-70,Partner,Housewife,Retired,Own Home,"<12,500, >=10,000",No,No,1976,Scottish TV,PA31 8SZ,PA31,20,0,41.48,0,0,0,0,11.49,29.49,0,67.98,1,Female,Scotland,12.3,18.16,6.83,29.02
107,Zero,65-70,Partner,Housewife,Retired,Own Home,"<20,000, >=17,500",No,No,1967,Carlton,CR2 6DP,CR2,0,0.02,0,0,0,0,0,0,0,0,0,2,Female,South East,0,0,0,-11.62
108,Zero,65-70,Partner,Retired,Retired,Own Home,"<20,000, >=17,500",No,No,1955,Meridian,RG42 1YH,RG42,0,134.95,19.49,233.86,0,114.41,0,13.99,4.99,0,0,2,Male,South East,77.66,22.23,61.21,157.17
109,Zero,31-35,Single/Never Married,Secretarial/Admin,Retired,Live in Parental Hom,"<15,000, >=12,500",No,No,1998,Scottish TV,PA1 2TT,PA1,35,39.49,53.97,99.93,14.48,22.45,11.47,47.46,0,1.99,0,2,Female,Scotland,48.57,13.9,32.63,112.12
110,Zero,55-60,Partner,Professional,Housewife,Own Home,">=35,000",Yes,No,1992,Meridian,M34 1TS,M34,0,0,0,0,16.97,0,0,0,0,0,0,2,Male,North West,3.39,0,2.83,10.92
111,1,26-30,Partner,Professional,Professional,Rent Privately,">=35,000",No,No,1999,Meridian,PO4 9JX,PO4,0,0,0,32.99,0,0,20.98,0,0,0,0,2,Male,South East,6.6,3.5,9,17.08
112,Zero,55-60,Partner,Retired,Retired,Own Home,"< 8,000, >= 4,000",No,No,1967,HTV,SA11 5BA,SA11,0,34.49,0,34.99,44.48,0,0,35.99,0,0,0,2,Male,Wales,22.79,6,19.24,60.94
113,2,26-30,Partner,Unknown,Unknown,Own Home,"<22,500, >=20,000",No,No,1997,Granada,L37 1XT,L37,0,0,27.99,65.47,10.49,0,0,25.48,0,0,0,2,Female,North West,20.79,4.25,16.91,94.39
114,Zero,61-65,Single/Never Married,Retired,Unknown,Own Home,"<15,000, >=12,500",No,No,1969,TV South West,TR8 5LG,TR8,0,0,0,29.48,0,16.46,198.82,128.42,0,0,78.95,2,Female,South West,5.9,70.44,62.2,98.28
115,1,26-30,Partner,Manual Worker,Professional,Own Home,">=35,000",No,No,1994,Grampian,AB12 3WF,AB12,0,0,0,119.43,0,4.48,19.48,51.98,0,0,0,2,Female,Scotland,23.89,12.66,32.56,49.79
116,Zero,45-50,Partner,Retired,Professional,Own Home,"<27,500, >=25,000",No,No,1991,Central,NN12 8RS,NN12,0,0,35.48,86.46,34.48,77.48,18.48,71.42,0,0,15.98,2,Female,East Midlands,31.28,30.56,48.05,104.86
117,1,22-25,Partner,Business Manager,Housewife,Rent from Council/HA,"<12,500, >=10,000",No,No,1995,Meridian,M2 4SU,M2,0,199.48,0,15.99,0,0,0,0,0,0,0,2,Male,North West,43.09,0,2.67,81.35
118,Zero,51-55,Partner,Retired,Unknown,Own Home,"<20,000, >=17,500",No,No,1973,Granada,L23 7TS,L23,240.44,0,0,0,12.97,34.99,0,0,0,0,0,1,Male,North West,50.68,5.83,7.99,102.57
119,1,51-55,Partner,Unknown,Retired,Own Home,"<17,500, >=15,000",No,No,0,Granada,BB1 4BX,BB1,0,0,0,0,0,9.99,0,0,19.98,0,2.49,2,Male,North West,0,5.41,5,7.07
121,1,31-35,Partner,Secretarial/Admin,Professional,Own Home,">=35,000",No,No,1998,Grampian,DD10 0TT,DD10,0,0,0,0,0,0,0,0,0,0,0,2,Female,Scotland,0,0,0,-30.58
122,1,45-50,Partner,Housewife,Retired,Own Home,"<20,000, >=17,500",No,No,1966,Anglia,PE6 0QE,PE6,0,176.45,11.99,254.82,0,112.95,0,105.86,31.97,26.44,0,1,Female,East Anglia,88.65,46.2,84.27,208.9
123,3,36-40,Partner,Professional,Professional,Own Home,">=35,000",Yes,No,1992,Meridian,L27 0RB,L27,0,54.48,0,13.99,0,30.46,0,12,1,22.18,91.43,1,Female,North West,13.69,26.18,9.58,62.22
124,1,26-30,Partner,Business Manager,Manual Worker,Own Home,"<27,500, >=25,000",No,No,1995,Scottish TV,KA3 7UA,KA3,58.46,83.4,20.99,150.9,36.55,67.83,13.48,98.4,29.99,1.99,27.99,2,Female,Scotland,70.06,39.95,66.19,222.63
