year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2014,8,27,1510.0,5.0,1730.0,6.0,AS,N517AS,520,SEA,BUR,121.0,937,15.0,10.0
2014,11,8,603.0,-7.0,1011.0,,OO,N613QX,4825,PDX,SEA,,129,6.0,3.0
2014,6,5,1835.0,5.0,2042.0,0.0,AS,N615AS,302,SEA,SFO,103.0,679,18.0,35.0
2014,10,28,2037.0,-8.0,2255.0,-39.0,AS,N556AS,141,SEA,ANC,181.0,1448,20.0,37.0
2014,7,23,1232.0,2.0,1504.0,-6.0,AS,N525AS,137,PDX,ANC,193.0,1542,12.0,32.0
2014,8,31,713.0,-7.0,923.0,-19.0,B6,N807JB,1121,PDX,LGB,111.0,846,7.0,13.0
2014,8,16,2000.0,12.0,2329.0,14.0,F9,N203FR,142,SEA,DEN,127.0,1024,20.0,0.0
2014,6,20,1408.0,52.0,1612.0,43.0,UA,N471UA,816,SEA,SFO,99.0,679,14.0,8.0
2014,8,22,1034.0,25.0,1255.0,16.0,OO,N549CA,4684,SEA,LAS,108.0,867,10.0,34.0
2014,1,4,841.0,-4.0,1200.0,-13.0,US,N602AW,685,PDX,PHX,122.0,1009,8.0,41.0
2014,3,20,1034.0,-11.0,1249.0,-24.0,OO,N216AG,3482,SEA,SBA,119.0,908,10.0,34.0
2014,6,25,642.0,2.0,950.0,32.0,AS,N464AS,466,SEA,LAX,136.0,954,6.0,42.0
2014,4,1,910.0,-5.0,1147.0,-18.0,OO,N217AG,3466,PDX,TUS,145.0,1119,9.0,10.0
2014,5,18,2034.0,-5.0,2214.0,-14.0,OO,N943SW,5210,PDX,SFO,86.0,550,20.0,34.0
2014,8,31,928.0,-2.0,1057.0,-18.0,WN,N233LV,868,PDX,OAK,76.0,543,9.0,28.0
2014,10,25,1155.0,-5.0,1248.0,-6.0,AS,N525AS,684,SEA,GEG,35.0,224,11.0,55.0
2014,10,25,1535.0,-5.0,1752.0,-8.0,WN,N8625A,1297,SEA,LAS,123.0,867,15.0,35.0
2014,12,25,1146.0,-1.0,1837.0,-18.0,DL,N6705Y,882,SEA,DTW,214.0,1927,11.0,46.0
2014,10,16,711.0,-9.0,907.0,10.0,AS,N593AS,805,SEA,SMF,82.0,605,7.0,11.0
2014,11,2,2021.0,1.0,2237.0,-18.0,VX,N638VA,798,SEA,LAX,114.0,954,20.0,21.0
2014,5,1,1636.0,21.0,1910.0,10.0,WN,N910WN,3484,PDX,SLC,83.0,630,16.0,36.0
2014,4,10,2012.0,7.0,2243.0,-2.0,WN,N607SW,380,PDX,PHX,136.0,1009,20.0,12.0
2014,4,25,853.0,-7.0,1616.0,-13.0,DL,N397DA,2464,PDX,ATL,239.0,2172,8.0,53.0
2014,7,20,1324.0,4.0,1444.0,-1.0,WN,N372SW,1487,PDX,SMF,70.0,479,13.0,24.0
2014,5,7,2243.0,15.0,2329.0,22.0,OO,N294SW,5440,PDX,RDM,30.0,116,22.0,43.0
2014,7,30,516.0,-4.0,744.0,-10.0,US,N551UW,425,PDX,PHX,132.0,1009,5.0,16.0
2014,9,16,1410.0,5.0,1959.0,-11.0,WN,N8309C,336,SEA,MDW,202.0,1733,14.0,10.0
2014,12,28,1105.0,10.0,1320.0,-10.0,AS,N302AS,490,SEA,SAN,122.0,1050,11.0,5.0
2014,5,31,1507.0,2.0,1746.0,-5.0,AS,N303AS,650,SEA,PHX,141.0,1107,15.0,7.0
2014,6,22,628.0,-1.0,909.0,-6.0,DL,N3763D,956,SEA,LAX,119.0,954,6.0,28.0
2014,7,14,750.0,0.0,1334.0,-1.0,AA,N4YAAA,1220,PDX,DFW,191.0,1616,7.0,50.0
2014,10,18,1000.0,-10.0,1323.0,-9.0,F9,N934FR,788,PDX,DEN,124.0,991,10.0,0.0
2014,6,17,1742.0,12.0,1833.0,11.0,OO,N270YV,5440,SEA,PDX,32.0,129,17.0,42.0
2014,1,13,1741.0,-4.0,1957.0,-2.0,AS,N317AS,562,PDX,LAX,110.0,834,17.0,41.0
2014,6,23,1916.0,41.0,2038.0,33.0,WN,N764SW,1305,PDX,SMF,69.0,479,19.0,16.0
2014,3,2,808.0,-2.0,1030.0,-1.0,AS,N563AS,600,SEA,LAS,118.0,867,8.0,8.0
2014,4,29,959.0,24.0,1212.0,17.0,AS,N619AS,602,SEA,LAS,114.0,867,9.0,59.0
2014,3,29,2318.0,3.0,517.0,4.0,UA,N574UA,734,SEA,IAH,220.0,1874,23.0,18.0
2014,3,23,1047.0,-2.0,1405.0,-17.0,UA,N17244,156,SEA,DEN,123.0,1024,10.0,47.0
2014,9,11,1641.0,-4.0,1914.0,-21.0,WN,N7738A,573,SEA,PHX,139.0,1107,16.0,41.0
2014,3,5,1341.0,26.0,1707.0,2.0,WN,N914WN,3773,SEA,ABQ,134.0,1180,13.0,41.0
2014,1,14,1002.0,-3.0,1214.0,-6.0,AS,N614AS,580,PDX,SNA,117.0,859,10.0,2.0
2014,1,22,1318.0,-3.0,1409.0,-5.0,OO,N294SW,5423,PDX,SEA,40.0,129,13.0,18.0
2014,6,23,1640.0,-10.0,1901.0,5.0,AS,N513AS,620,PDX,LAS,104.0,763,16.0,40.0
2014,7,3,609.0,-6.0,845.0,-10.0,AS,N546AS,470,SEA,SAN,135.0,1050,6.0,9.0
2014,2,20,943.0,-2.0,1235.0,-15.0,AS,N579AS,131,PDX,ANC,215.0,1542,9.0,43.0
2014,11,30,542.0,-3.0,1157.0,-1.0,UA,N63820,1101,SEA,IAH,227.0,1874,5.0,42.0
2014,7,11,1701.0,-4.0,1943.0,-17.0,DL,N592NW,2237,SEA,HNL,319.0,2677,17.0,1.0
2014,8,24,1120.0,25.0,1948.0,38.0,DL,N712TW,1473,SEA,JFK,296.0,2422,11.0,20.0
2014,3,3,711.0,9.0,1005.0,30.0,OO,N693CA,4597,SEA,LAX,123.0,954,7.0,11.0
2014,7,26,2210.0,0.0,21.0,-19.0,AS,N407AS,89,SEA,ANC,173.0,1448,22.0,10.0
2014,9,19,1018.0,-2.0,1616.0,-28.0,AS,N307AS,730,SEA,IAH,219.0,1874,10.0,18.0
2014,7,9,1510.0,-5.0,2043.0,-22.0,AA,N3CDAA,2361,SEA,DFW,197.0,1660,15.0,10.0
2014,1,21,804.0,-1.0,1539.0,-11.0,AS,N409AS,742,SEA,ATL,244.0,2182,8.0,4.0
2014,4,30,801.0,-4.0,1343.0,-2.0,AA,N4WJAA,1220,PDX,DFW,198.0,1616,8.0,1.0
2014,5,13,1019.0,-1.0,1632.0,-1.0,AS,N560AS,730,SEA,IAH,230.0,1874,10.0,19.0
2014,8,29,1127.0,55.0,1323.0,57.0,OO,N962SW,5196,PDX,SFO,86.0,550,11.0,27.0
2014,9,24,2233.0,-7.0,447.0,-13.0,UA,N76519,1129,SEA,IAH,231.0,1874,22.0,33.0
2014,2,4,1040.0,-5.0,1308.0,-14.0,AS,N708AS,460,SEA,LAX,120.0,954,10.0,40.0
2014,10,15,1121.0,-9.0,1715.0,-8.0,AS,N612AS,692,SEA,SAT,211.0,1774,11.0,21.0
2014,2,5,1239.0,-1.0,1819.0,-26.0,AS,N423AS,692,SEA,SAT,205.0,1774,12.0,39.0
2014,10,3,1150.0,0.0,1418.0,-24.0,AS,N538AS,809,PDX,OGG,311.0,2562,11.0,50.0
2014,2,20,3.0,4.0,533.0,-28.0,UA,N34460,1609,PDX,IAH,198.0,1825,0.0,3.0
2014,11,15,905.0,25.0,1730.0,10.0,AS,N461AS,38,SEA,FLL,307.0,2717,9.0,5.0
2014,8,26,1050.0,-6.0,1901.0,-7.0,B6,N579JB,598,SEA,BOS,290.0,2496,10.0,50.0
2014,11,21,1553.0,28.0,1754.0,20.0,AS,N713AS,308,SEA,SFO,99.0,679,15.0,53.0
2014,9,24,2333.0,8.0,504.0,-1.0,AA,N3DWAA,1230,SEA,DFW,197.0,1660,23.0,33.0
2014,7,18,1349.0,149.0,1556.0,151.0,WN,N355SW,1892,SEA,OAK,94.0,671,13.0,49.0
2014,8,19,1402.0,-8.0,2139.0,-11.0,DL,N807DN,2497,PDX,ATL,254.0,2172,14.0,2.0
2014,3,15,1452.0,-6.0,1541.0,-4.0,OO,N284YV,5417,SEA,PDX,35.0,129,14.0,52.0
2014,9,23,1441.0,1.0,1726.0,6.0,AS,N793AS,494,SEA,SAN,147.0,1050,14.0,41.0
2014,9,10,740.0,10.0,938.0,-2.0,WN,N618WN,831,SEA,SJC,101.0,697,7.0,40.0
2014,9,11,1022.0,2.0,1637.0,-7.0,AS,N309AS,730,SEA,IAH,239.0,1874,10.0,22.0
2014,11,7,1412.0,5.0,2213.0,5.0,B6,N804JB,598,SEA,BOS,275.0,2496,14.0,12.0
2014,9,6,819.0,-1.0,1426.0,-3.0,UA,N548UA,749,SEA,IAH,219.0,1874,8.0,19.0
2014,9,5,748.0,-7.0,1013.0,-5.0,AS,N548AS,522,SEA,BUR,125.0,937,7.0,48.0
2014,2,13,1531.0,0.0,1740.0,-5.0,OO,N823SK,4688,PDX,LAX,108.0,834,15.0,31.0
2014,6,2,1257.0,-8.0,2049.0,-17.0,US,N154UW,1704,SEA,CLT,256.0,2279,12.0,57.0
2014,5,17,2038.0,-5.0,2251.0,7.0,AS,N713AS,300,SEA,SFO,105.0,679,20.0,38.0
2014,1,22,1620.0,-5.0,1820.0,-11.0,OO,N223AG,3462,PDX,ONT,106.0,838,16.0,20.0
2014,8,13,1959.0,79.0,2156.0,71.0,AS,N706AS,302,SEA,SFO,97.0,679,19.0,59.0
2014,2,18,1253.0,-2.0,1437.0,-3.0,WN,N739GB,636,SEA,SMF,85.0,605,12.0,53.0
2014,3,15,1012.0,-3.0,1557.0,-7.0,AS,N323AS,654,PDX,DFW,203.0,1616,10.0,12.0
2014,12,31,1930.0,-5.0,2150.0,-4.0,AS,N467AS,598,PDX,SAN,122.0,933,19.0,30.0
2014,11,11,953.0,-2.0,1417.0,12.0,AS,N559AS,851,SEA,HNL,348.0,2677,9.0,53.0
2014,2,12,1409.0,-8.0,1937.0,-28.0,UA,N561UA,464,PDX,ORD,186.0,1739,14.0,9.0
2014,5,26,1526.0,6.0,1848.0,3.0,WN,N762SW,245,PDX,DEN,128.0,991,15.0,26.0
2014,7,1,1301.0,-4.0,2127.0,21.0,US,N155UW,1857,SEA,CLT,294.0,2279,13.0,1.0
2014,8,26,1918.0,28.0,2056.0,24.0,AS,N556AS,370,SEA,SMF,79.0,605,19.0,18.0
2014,3,20,1259.0,-1.0,2048.0,-22.0,DL,N722TW,182,SEA,JFK,266.0,2422,12.0,59.0
2014,7,12,637.0,-6.0,922.0,-8.0,DL,N3751B,2567,SEA,LAX,135.0,954,6.0,37.0
2014,3,26,557.0,-3.0,838.0,5.0,AS,N512AS,81,SEA,ANC,181.0,1448,5.0,57.0
2014,2,19,1509.0,79.0,2032.0,52.0,AA,N3CXAA,2269,SEA,DFW,187.0,1660,15.0,9.0
2014,6,20,1025.0,-5.0,1616.0,-14.0,AS,N614AS,686,PDX,ORD,204.0,1739,10.0,25.0
2014,10,13,1632.0,17.0,1753.0,13.0,WN,N485WN,764,PDX,SMF,69.0,479,16.0,32.0
2014,2,1,1610.0,-15.0,1809.0,-26.0,OO,N215AG,3494,PDX,SBA,103.0,784,16.0,10.0
2014,12,29,1242.0,7.0,1408.0,8.0,WN,N8624J,1682,PDX,SMF,59.0,479,12.0,42.0
2014,10,10,1701.0,1.0,1854.0,-11.0,VX,N839VA,755,SEA,SFO,97.0,679,17.0,1.0
2014,6,9,1940.0,10.0,2300.0,2.0,F9,N931FR,142,SEA,DEN,119.0,1024,19.0,40.0
2014,4,10,2053.0,-2.0,2323.0,2.0,AS,N756AS,534,SEA,ONT,134.0,956,20.0,53.0
2014,7,30,654.0,4.0,1218.0,22.0,AS,N506AS,36,SEA,MSP,170.0,1399,6.0,54.0
2014,8,7,1806.0,-4.0,2027.0,-4.0,B6,N652JB,1621,PDX,LGB,118.0,846,18.0,6.0
2014,1,20,657.0,2.0,935.0,10.0,AS,N323AS,470,SEA,LAX,131.0,954,6.0,57.0
2014,6,13,710.0,10.0,847.0,2.0,WN,N917WN,4140,PDX,SJC,82.0,569,7.0,10.0
2014,5,21,1721.0,46.0,1855.0,45.0,WN,N715SW,522,PDX,OAK,73.0,543,17.0,21.0
2014,5,4,1315.0,0.0,1548.0,5.0,OO,N810SK,4828,SEA,LAS,128.0,867,13.0,15.0
2014,6,17,1145.0,0.0,1820.0,16.0,UA,N558UA,235,SEA,IAH,228.0,1874,11.0,45.0
2014,3,23,1016.0,-4.0,1303.0,-8.0,DL,N341NW,1857,SEA,SLC,84.0,689,10.0,16.0
2014,11,6,857.0,-3.0,1057.0,14.0,AS,N713AS,370,SEA,SMF,84.0,605,8.0,57.0
2014,4,19,1438.0,-7.0,1824.0,14.0,F9,N912FR,234,PDX,DEN,146.0,991,14.0,38.0
2014,12,30,1626.0,-5.0,1918.0,-6.0,DL,N6708D,1457,SEA,SLC,97.0,689,16.0,26.0
2014,1,17,1641.0,16.0,2014.0,9.0,WN,N293WN,336,SEA,PHX,136.0,1107,16.0,41.0
2014,3,29,1528.0,-2.0,1806.0,-14.0,WN,N215WN,2846,SEA,PHX,146.0,1107,15.0,28.0
2014,3,13,1438.0,-2.0,1757.0,-13.0,WN,N201LV,220,PDX,DEN,124.0,991,14.0,38.0
2014,2,17,729.0,29.0,1547.0,40.0,DL,N705TW,418,SEA,JFK,271.0,2422,7.0,29.0
2014,12,20,2111.0,16.0,2357.0,-9.0,AS,N462AS,145,PDX,ANC,204.0,1542,21.0,11.0
2014,8,12,1009.0,-6.0,1253.0,-7.0,DL,N673DL,1598,PDX,SLC,88.0,630,10.0,9.0
2014,3,6,1536.0,1.0,1816.0,-9.0,AS,N791AS,101,SEA,ANC,204.0,1448,15.0,36.0
2014,10,22,654.0,-6.0,1251.0,-9.0,AA,N3HXAA,86,PDX,ORD,209.0,1739,6.0,54.0
2014,4,7,1503.0,-2.0,1750.0,4.0,AS,N705AS,650,SEA,PHX,147.0,1107,15.0,3.0
2014,12,26,2053.0,-2.0,2349.0,-17.0,AS,N317AS,145,PDX,ANC,220.0,1542,20.0,53.0
2014,1,8,1513.0,-2.0,1840.0,-4.0,UA,N480UA,457,SEA,DEN,124.0,1024,15.0,13.0
2014,10,8,638.0,-7.0,839.0,-12.0,OO,N613SK,4548,SEA,SJC,102.0,697,6.0,38.0
2014,3,15,707.0,-3.0,910.0,-10.0,AS,N795AS,334,SEA,SJC,96.0,697,7.0,7.0
2014,5,12,744.0,-1.0,950.0,-4.0,OO,N218AG,3486,PDX,BOI,47.0,344,7.0,44.0
2014,8,24,1752.0,2.0,2008.0,3.0,AS,N559AS,562,PDX,LAX,105.0,834,17.0,52.0
2014,2,26,1048.0,-7.0,1330.0,5.0,VX,N855VA,784,SEA,LAX,138.0,954,10.0,48.0
2014,9,4,751.0,-4.0,954.0,-6.0,WN,N618WN,1187,SEA,OAK,101.0,671,7.0,51.0
2014,3,10,2357.0,42.0,545.0,28.0,UA,N66814,1129,SEA,IAH,207.0,1874,23.0,57.0
2014,11,5,1749.0,-6.0,2119.0,-22.0,US,N561UW,689,SEA,PHX,132.0,1107,17.0,49.0
2014,5,1,627.0,-3.0,853.0,-7.0,OO,N821SK,4692,PDX,LAX,111.0,834,6.0,27.0
2014,1,19,603.0,-1.0,1133.0,-21.0,UA,N594UA,732,SEA,ORD,188.0,1721,6.0,3.0
2014,1,28,1205.0,0.0,1409.0,-16.0,WN,N475WN,1362,SEA,LAS,107.0,867,12.0,5.0
2014,7,23,902.0,17.0,1149.0,45.0,UA,N814UA,587,SEA,SFO,108.0,679,9.0,2.0
2014,8,21,1038.0,6.0,1216.0,-10.0,OO,N928EV,5196,PDX,SFO,82.0,550,10.0,38.0
2014,5,10,,,,,B6,N779JB,264,SEA,JFK,,2422,,
2014,12,30,1758.0,7.0,2208.0,3.0,DL,N590NW,2237,SEA,HNL,338.0,2677,17.0,58.0
2014,11,29,1812.0,37.0,1902.0,37.0,OO,N632SK,4547,PDX,SEA,29.0,129,18.0,12.0
2014,9,9,621.0,-4.0,828.0,-15.0,OO,N217AG,3460,PDX,ONT,116.0,838,6.0,21.0
2014,1,27,1432.0,7.0,1651.0,-5.0,AS,N619AS,516,SEA,SNA,126.0,978,14.0,32.0
2014,3,24,1022.0,-3.0,1354.0,-2.0,AS,N607AS,672,SEA,DEN,124.0,1024,10.0,22.0
2014,7,29,1.0,2.0,600.0,6.0,UA,N458UA,280,PDX,IAH,217.0,1825,0.0,1.0
2014,2,24,655.0,-10.0,922.0,-13.0,VX,N623VA,1780,SEA,LAX,127.0,954,6.0,55.0
2014,12,26,630.0,-10.0,833.0,-39.0,AS,N423AS,560,SEA,PSP,107.0,987,6.0,30.0
2014,2,1,1509.0,-6.0,1825.0,-20.0,US,N837AW,484,PDX,PHX,122.0,1009,15.0,9.0
2014,5,1,1558.0,43.0,1925.0,45.0,WN,N958WN,466,PDX,DEN,125.0,991,15.0,58.0
2014,2,2,705.0,0.0,1404.0,-15.0,DL,N386DA,822,SEA,DTW,209.0,1927,7.0,5.0
2014,8,22,633.0,-7.0,826.0,-29.0,OO,N218AG,3456,PDX,BUR,102.0,817,6.0,33.0
2014,8,23,1226.0,-4.0,1521.0,11.0,AS,N557AS,137,PDX,ANC,223.0,1542,12.0,26.0
2014,3,2,1654.0,19.0,1928.0,23.0,AS,N796AS,466,SEA,LAX,136.0,954,16.0,54.0
2014,11,15,1134.0,-1.0,1711.0,-24.0,AS,N626AS,692,SEA,SAT,201.0,1774,11.0,34.0
2014,1,14,1124.0,-1.0,1351.0,-9.0,AS,N611AS,498,SEA,SAN,129.0,1050,11.0,24.0
2014,1,25,754.0,-6.0,1055.0,7.0,OO,N607SK,4606,SEA,JAC,93.0,621,7.0,54.0
2014,7,31,745.0,-1.0,1545.0,13.0,DL,N1605,128,SEA,ATL,250.0,2182,7.0,45.0
2014,11,3,1646.0,-4.0,1901.0,-24.0,AS,N611AS,514,SEA,SNA,120.0,978,16.0,46.0
2014,12,27,1353.0,38.0,1553.0,38.0,WN,N646SW,2121,SEA,OAK,98.0,671,13.0,53.0
2014,7,15,1111.0,121.0,1953.0,148.0,AS,N409AS,8,SEA,EWR,305.0,2402,11.0,11.0
2014,10,7,1325.0,5.0,1525.0,0.0,WN,N459WN,2615,SEA,OAK,98.0,671,13.0,25.0
2014,8,26,2251.0,2.0,645.0,19.0,DL,N584NW,2329,SEA,ATL,252.0,2182,22.0,51.0
2014,10,16,1428.0,-2.0,1704.0,-1.0,AS,N317AS,93,SEA,ANC,189.0,1448,14.0,28.0
2014,5,18,1925.0,-5.0,2229.0,-9.0,AS,N514AS,893,SEA,HNL,343.0,2677,19.0,25.0
2014,2,15,1214.0,-1.0,1425.0,4.0,OO,N219AG,3454,PDX,BUR,118.0,817,12.0,14.0
2014,12,23,958.0,-5.0,1159.0,-21.0,UA,N835UA,294,SEA,SFO,95.0,679,9.0,58.0
2014,6,2,656.0,1.0,1038.0,-2.0,WN,N365SW,1006,PDX,ABQ,142.0,1111,6.0,56.0
2014,11,20,1837.0,12.0,2056.0,6.0,WN,N791SW,3586,SEA,LAS,118.0,867,18.0,37.0
2014,11,4,826.0,-9.0,917.0,-8.0,OO,N607SK,4604,PDX,SEA,30.0,129,8.0,26.0
2014,6,17,800.0,0.0,925.0,1.0,AS,N760AS,61,SEA,JNU,126.0,909,8.0,0.0
2014,10,30,1622.0,22.0,1718.0,20.0,AS,N407AS,688,SEA,GEG,35.0,224,16.0,22.0
2014,8,2,1552.0,12.0,1806.0,21.0,AS,N788AS,322,SEA,SJC,110.0,697,15.0,52.0
2014,9,12,1812.0,-7.0,2006.0,-27.0,UA,N441UA,508,SEA,SFO,100.0,679,18.0,12.0
2014,2,4,1848.0,13.0,1950.0,9.0,AS,N769AS,69,SEA,KTN,110.0,680,18.0,48.0
2014,3,14,1017.0,-8.0,1259.0,-6.0,DL,N326NB,2189,PDX,SLC,80.0,630,10.0,17.0
2014,9,11,853.0,-7.0,1155.0,13.0,AS,N793AS,87,SEA,ANC,207.0,1448,8.0,53.0
2014,6,12,1900.0,77.0,2226.0,66.0,OO,N699BR,5233,PDX,DEN,122.0,991,19.0,0.0
2014,5,7,954.0,-1.0,1235.0,2.0,AS,N788AS,131,PDX,ANC,200.0,1542,9.0,54.0
2014,11,24,2355.0,-4.0,531.0,-22.0,UA,N69830,1609,PDX,IAH,199.0,1825,23.0,55.0
2014,5,30,1122.0,2.0,1248.0,3.0,WN,N458WN,3383,PDX,SMF,71.0,479,11.0,22.0
2014,12,17,647.0,-3.0,828.0,-12.0,AS,N590AS,805,SEA,SMF,80.0,605,6.0,47.0
2014,9,16,2310.0,0.0,138.0,-14.0,AS,N568AS,127,SEA,FAI,195.0,1533,23.0,10.0
2014,10,30,659.0,-1.0,842.0,2.0,VX,N846VA,805,PDX,SFO,90.0,550,6.0,59.0
2014,10,8,1027.0,-3.0,1249.0,2.0,AS,N559AS,564,PDX,LAX,117.0,834,10.0,27.0
2014,4,22,1654.0,4.0,1921.0,-6.0,AS,N794AS,448,SEA,LAX,125.0,954,16.0,54.0
2014,10,29,1322.0,9.0,2102.0,-8.0,UA,N37437,1253,SEA,IAD,252.0,2306,13.0,22.0
2014,6,20,1305.0,2.0,1639.0,4.0,F9,N203FR,140,SEA,DEN,124.0,1024,13.0,5.0
2014,1,12,2219.0,-6.0,601.0,-7.0,US,N150UW,1944,SEA,CLT,258.0,2279,22.0,19.0
2014,5,26,506.0,-9.0,753.0,-8.0,US,N653AW,617,SEA,PHX,134.0,1107,5.0,6.0
2014,1,7,1055.0,-3.0,1313.0,3.0,OO,N960SW,6426,SEA,SFO,113.0,679,10.0,55.0
2014,7,15,1852.0,-3.0,2028.0,-29.0,AS,N587AS,386,PDX,SFO,81.0,550,18.0,52.0
2014,8,1,822.0,-8.0,1428.0,3.0,UA,N478UA,722,PDX,ORD,215.0,1739,8.0,22.0
2014,6,11,835.0,-5.0,1125.0,-10.0,AS,N607AS,728,SEA,SLC,91.0,689,8.0,35.0
2014,3,9,539.0,-1.0,733.0,4.0,OO,N712SK,5580,PDX,SFO,95.0,550,5.0,39.0
2014,2,20,1018.0,-6.0,1301.0,-14.0,DL,N368NW,1857,SEA,SLC,83.0,689,10.0,18.0
2014,6,26,754.0,-1.0,1005.0,-11.0,AS,N625AS,522,SEA,BUR,117.0,937,7.0,54.0
