cust_id,state,area_code,bill_date,bill_type,invoice_id,invoice_amount,invoice_init_date,invoice_final_date,invoice_settled_date,disputed,days_to_settle,days_late
6004-KITZM,Los Angeles,818,01-09-2013,Paper,7461173643,79.42,25-11-2012,25-12-2012,10-12-2012,No,15,0
7946-HJDUR,Los Angeles,818,21-02-2012,Electronic,8908680989,48.07,31-03-2013,30-04-2013,26-04-2013,No,26,0
4460-ZXNDN,Atlanta,770,27-06-2013,Paper,572625167,102.98,24-05-2013,23-06-2013,25-06-2013,No,32,2
6160-HCSFI,State of OK,391,10-01-2013,Electronic,5667168406,68.97,04-06-2013,04-07-2013,20-06-2013,No,16,0
9286-VLKMI,State of KS,897,13-02-2013,Electronic,1166745208,74.75,27-11-2013,27-12-2013,07-12-2013,Yes,10,0
4632-QZOKX,Montana,406,19-03-2013,Paper,7043574740,83.42,14-02-2012,15-03-2012,20-03-2012,Yes,35,5
7600-OISKG,Montana,406,19-07-2013,Electronic,2328511433,77.43,20-10-2013,19-11-2013,12-11-2013,Yes,23,0
2824-HJQPP,Los Angeles,818,04-09-2013,Paper,4789397752,77.54,29-05-2012,28-06-2012,28-06-2012,No,30,0
9841-XLGBV,State of OK,391,03-01-2013,Electronic,6059357698,31.12,27-07-2013,26-08-2013,24-08-2013,No,28,0
8102-ABPKQ,Los Angeles,818,29-08-2013,Paper,4145307595,74.55,18-11-2012,18-12-2012,04-01-2013,Yes,47,17
5529-TBPGK,State of OK,391,09-08-2013,Paper,2620239474,76.12,12-11-2012,12-12-2012,23-12-2012,Yes,41,11
1604-LIFKX,Los Angeles,818,16-03-2013,Electronic,5046787811,77.66,31-05-2013,30-06-2013,05-07-2013,No,35,5
2676-DZINU,State of OK,391,19-10-2012,Paper,1376441638,81.25,30-09-2012,30-10-2012,22-10-2012,No,22,0
2676-DZINU,State of OK,391,19-10-2012,Electronic,3218896620,52.5,05-08-2013,04-09-2013,13-08-2013,No,8,0
6708-DPYTF,State of OK,391,02-08-2012,Electronic,5826992356,105.25,03-10-2013,02-11-2013,03-11-2013,No,31,1
1408-OQZUE,State of KS,897,14-09-2012,Electronic,9835762300,35.2,03-07-2013,02-08-2013,07-08-2013,No,35,5
9181-HEKGV,Los Angeles,818,16-10-2013,Paper,1314367195,90,21-06-2012,21-07-2012,12-07-2012,No,21,0
9771-QTLGZ,Montana,406,10-12-2012,Electronic,5508245592,48.87,28-02-2013,30-03-2013,09-03-2013,Yes,9,0
6077-FDQRK,Atlanta,770,11-09-2012,Paper,6035899942,53.52,10-07-2012,09-08-2012,02-08-2012,No,23,0
5924-UOPGH,Los Angeles,818,06-06-2013,Electronic,3394333507,65.6,04-08-2013,03-09-2013,18-08-2013,No,14,0
9174-IYKOC,State of OK,391,27-11-2012,Electronic,9418503093,60.65,02-06-2013,02-07-2013,27-06-2013,No,25,0
7260-ZHAKS,Atlanta,770,17-06-2012,Electronic,2693687613,56.24,06-11-2013,06-12-2013,27-11-2013,No,21,0
6632-CGYHU,State of OK,391,08-01-2013,Paper,3060840745,83.68,25-10-2012,24-11-2012,09-11-2012,No,15,0
1447-YZKCL,Montana,406,10-08-2012,Electronic,7665948122,67.87,13-02-2013,15-03-2013,13-03-2013,No,28,0
9883-SDWFS,State of KS,897,08-07-2013,Paper,9092385558,18.77,09-10-2012,08-11-2012,09-11-2012,No,31,1
5529-TBPGK,State of OK,391,09-08-2013,Paper,9046073849,84.31,07-04-2012,07-05-2012,16-05-2012,No,39,9
0706-NRGUP,Atlanta,770,09-04-2013,Electronic,8978691415,44.36,03-10-2013,02-11-2013,28-10-2013,No,25,0
0706-NRGUP,Atlanta,770,09-04-2013,Paper,4696816536,39.25,18-04-2012,18-05-2012,20-05-2012,No,32,2
7946-HJDUR,Los Angeles,818,21-02-2012,Electronic,8636390396,55.38,29-03-2012,28-04-2012,22-04-2012,No,24,0
9212-BTDMX,State of OK,391,22-04-2012,Electronic,496849530,59.71,02-06-2013,02-07-2013,16-06-2013,No,14,0
6160-HCSFI,State of OK,391,10-01-2013,Electronic,9097859581,44.64,24-01-2013,23-02-2013,11-02-2013,No,18,0
8156-PCYBM,State of OK,391,03-03-2012,Electronic,3416294053,58.03,04-01-2013,03-02-2013,03-02-2013,No,30,0
2125-HJDLA,State of OK,391,22-05-2012,Electronic,3171200707,61.93,30-12-2012,29-01-2013,16-02-2013,No,48,18
5613-UHVMG,Los Angeles,818,31-05-2012,Electronic,2601239901,55.54,29-08-2012,28-09-2012,13-10-2012,Yes,45,15
7946-HJDUR,Los Angeles,818,21-02-2012,Electronic,4242402632,35.32,28-05-2012,27-06-2012,26-06-2012,No,29,0
0379-NEVHP,State of OK,391,06-04-2013,Electronic,7285560671,70.9,16-08-2013,15-09-2013,31-08-2013,No,15,0
6296-UKEUZ,State of KS,897,26-11-2012,Paper,9315531233,29.77,22-07-2012,21-08-2012,25-07-2012,No,3,0
4092-ZAVRG,Montana,406,19-05-2012,Paper,274057720,50.96,07-05-2012,06-06-2012,13-05-2012,No,6,0
6296-UKEUZ,State of KS,897,26-11-2012,Electronic,2267825101,27.29,12-04-2013,12-05-2013,14-04-2013,No,2,0
5920-DPXLN,State of OK,391,11-11-2012,Electronic,1853646712,81.47,08-11-2013,08-12-2013,20-11-2013,No,12,0
6632-CGYHU,State of OK,391,08-01-2013,Electronic,9073174131,92.97,09-02-2013,11-03-2013,19-02-2013,No,10,0
5613-UHVMG,Los Angeles,818,31-05-2012,Electronic,7406229116,61.02,24-01-2013,23-02-2013,16-03-2013,Yes,51,21
2820-XGXSB,State of OK,391,26-01-2012,Electronic,3737203878,81.62,08-07-2012,07-08-2012,13-07-2012,No,5,0
9212-BTDMX,State of OK,391,22-04-2012,Electronic,1087780845,64.81,08-04-2013,08-05-2013,25-04-2013,No,17,0
2820-XGXSB,State of OK,391,26-01-2012,Electronic,2677499546,54.18,13-10-2013,12-11-2013,18-10-2013,No,5,0
7946-HJDUR,Los Angeles,818,21-02-2012,Electronic,2125307184,67.34,11-08-2013,10-09-2013,14-09-2013,No,34,4
9460-VAZGD,State of KS,897,10-08-2013,Paper,6556605926,50.82,22-12-2012,21-01-2013,09-01-2013,No,18,0
9725-EZTEJ,Montana,406,17-03-2012,Electronic,9002067860,82.09,20-03-2012,19-04-2012,26-04-2012,Yes,37,7
8102-ABPKQ,Los Angeles,818,29-08-2013,Paper,5288556291,85.3,05-07-2013,04-08-2013,29-08-2013,Yes,55,25
9212-BTDMX,State of OK,391,22-04-2012,Electronic,604769805,73.59,21-02-2013,23-03-2013,01-03-2013,No,8,0
8102-ABPKQ,Los Angeles,818,29-08-2013,Paper,1562504690,83.15,04-03-2012,03-04-2012,20-04-2012,Yes,47,17
8887-NCUZC,Los Angeles,818,22-01-2013,Paper,2161660036,40.38,17-06-2012,17-07-2012,19-07-2012,No,32,2
5164-VMYWJ,Montana,406,27-11-2013,Paper,9807005414,59.5,15-12-2012,14-01-2013,27-01-2013,Yes,43,13
9841-XLGBV,State of OK,391,03-01-2013,Electronic,4670071329,51.83,28-01-2013,27-02-2013,18-02-2013,No,21,0
0706-NRGUP,Atlanta,770,09-04-2013,Paper,8419584909,26.49,07-02-2013,09-03-2013,16-03-2013,No,37,7
4640-FGEJI,Montana,406,04-04-2013,Paper,3078815567,94.62,02-04-2013,02-05-2013,21-04-2013,No,19,0
7372-CESLR,State of KS,897,11-01-2013,Paper,2898287464,12.7,28-10-2012,27-11-2012,25-11-2012,No,28,0
7856-ODQFO,Atlanta,770,05-08-2012,Paper,9986249860,67.59,02-07-2012,01-08-2012,27-07-2012,No,25,0
5284-DJOZO,Montana,406,11-09-2012,Electronic,2338417971,65.57,21-08-2013,20-09-2013,26-08-2013,No,5,0
9725-EZTEJ,Montana,406,17-03-2012,Electronic,6548329103,81.21,11-06-2013,11-07-2013,13-07-2013,Yes,32,2
5164-VMYWJ,Montana,406,27-11-2013,Paper,9860244611,62.58,15-09-2012,15-10-2012,22-10-2012,Yes,37,7
0465-DTULQ,Atlanta,770,04-03-2013,Paper,5519301828,59.34,30-01-2012,29-02-2012,21-03-2012,Yes,51,21
7938-EVASK,Montana,406,15-12-2012,Paper,7498359819,72.75,21-09-2012,21-10-2012,25-10-2012,No,34,4
7695-NKUXM,Los Angeles,818,21-11-2012,Paper,1401765899,40.68,21-03-2012,20-04-2012,11-04-2012,Yes,21,0
3271-HYHDN,Los Angeles,818,28-04-2013,Paper,1575926929,61.52,19-11-2012,19-12-2012,25-11-2012,No,6,0
5573-KSOIA,Montana,406,30-09-2013,Paper,4294426239,61.7,07-12-2012,06-01-2013,12-01-2013,No,36,6
3993-QUNVJ,Atlanta,770,31-12-2012,Paper,35868002,75.33,31-03-2012,30-04-2012,16-04-2012,No,16,0
5196-TWQXF,State of OK,391,20-06-2012,Electronic,5080141194,45.8,30-12-2012,29-01-2013,10-01-2013,No,11,0
0465-DTULQ,Atlanta,770,04-03-2013,Electronic,1342171511,27,23-04-2013,23-05-2013,19-05-2013,No,26,0
5875-VZQCZ,Los Angeles,818,15-07-2013,Paper,9227624437,89.27,14-08-2012,13-09-2012,10-09-2012,No,27,0
9174-IYKOC,State of OK,391,27-11-2012,Paper,6019130159,73.75,13-10-2012,12-11-2012,06-11-2012,No,24,0
8690-EEBEO,State of KS,897,05-12-2012,Electronic,2634865247,54.43,11-11-2013,11-12-2013,18-12-2013,No,37,7
0625-TNJFG,Atlanta,770,15-08-2013,Paper,1436243551,48.08,19-06-2012,19-07-2012,05-07-2012,No,16,0
1604-LIFKX,Los Angeles,818,16-03-2013,Paper,2430916585,63.45,07-03-2013,06-04-2013,22-04-2013,No,46,16
8976-AMJEO,Montana,406,03-03-2012,Electronic,7190128567,83.93,29-12-2012,28-01-2013,18-01-2013,No,20,0
9250-VHLWY,State of KS,897,03-06-2013,Electronic,1061077534,53.85,03-10-2013,02-11-2013,22-10-2013,No,19,0
5592-UQXSS,Atlanta,770,31-12-2012,Paper,7977041657,43.52,13-06-2012,13-07-2012,17-07-2012,No,34,4
6833-ETVHD,Montana,406,30-04-2012,Electronic,5600044644,67.51,07-01-2013,06-02-2013,22-01-2013,No,15,0
7050-KQLDO,Atlanta,770,29-09-2012,Paper,9989225541,53.16,27-04-2012,27-05-2012,18-05-2012,No,21,0
8364-UWVLM,Los Angeles,818,10-11-2012,Paper,9611156539,70.34,06-01-2012,05-02-2012,06-02-2012,No,31,1
1408-OQZUE,State of KS,897,14-09-2012,Paper,5051542190,53.95,04-07-2012,03-08-2012,01-09-2012,Yes,59,29
8690-EEBEO,State of KS,897,05-12-2012,Electronic,2222502782,74.89,18-04-2013,18-05-2013,18-05-2013,No,30,0
8820-BLYDZ,State of OK,391,19-03-2013,Electronic,6520680737,89.37,21-09-2013,21-10-2013,28-09-2013,No,7,0
3271-HYHDN,Los Angeles,818,28-04-2013,Paper,2949843698,39.35,10-04-2012,10-05-2012,15-04-2012,No,5,0
6048-QPZCF,Montana,406,13-07-2012,Electronic,8478661655,54.37,24-09-2013,24-10-2013,29-09-2013,No,5,0
7938-EVASK,Montana,406,15-12-2012,Electronic,3924052139,103.11,05-06-2013,05-07-2013,26-07-2013,Yes,51,21
7228-LEPPM,Atlanta,770,30-04-2012,Electronic,1048700348,52.67,12-04-2013,12-05-2013,19-05-2013,No,37,7
7654-DOLHO,State of KS,897,04-04-2012,Electronic,4371325400,24.6,02-02-2013,04-03-2013,17-02-2013,No,15,0
7841-HROAQ,State of OK,391,15-09-2013,Paper,642684114,63.36,20-06-2012,20-07-2012,08-07-2012,No,18,0
2676-DZINU,State of OK,391,19-10-2012,Paper,5212915028,59.78,03-05-2012,02-06-2012,23-05-2012,No,20,0
8102-ABPKQ,Los Angeles,818,29-08-2013,Paper,3197860193,32.86,22-09-2012,22-10-2012,02-11-2012,No,41,11
1408-OQZUE,State of KS,897,14-09-2012,Paper,285510254,27.05,05-04-2012,05-05-2012,28-05-2012,No,53,23
7209-MDWKR,State of OK,391,09-10-2013,Electronic,1384963125,80.14,14-11-2013,14-12-2013,07-12-2013,No,23,0
5284-DJOZO,Montana,406,11-09-2012,Paper,9583697144,67.59,23-02-2012,24-03-2012,29-02-2012,No,6,0
2447-JCFGW,Atlanta,770,31-07-2012,Paper,6149070076,50.96,29-05-2012,28-06-2012,24-06-2012,No,26,0
1080-NDGAE,State of OK,391,28-09-2012,Electronic,2121660618,79.79,25-01-2013,24-02-2013,02-03-2013,Yes,36,6
9174-IYKOC,State of OK,391,27-11-2012,Paper,7615433776,80.71,29-09-2012,29-10-2012,27-10-2012,No,28,0
9149-MATVB,Atlanta,770,30-04-2013,Electronic,7830094350,42.17,21-09-2013,21-10-2013,14-10-2013,No,23,0
8820-BLYDZ,State of OK,391,19-03-2013,Electronic,3732687518,70.91,22-08-2013,21-09-2013,28-08-2013,No,6,0
5875-VZQCZ,Los Angeles,818,15-07-2013,Electronic,9188803308,67.57,22-07-2013,21-08-2013,07-08-2013,No,16,0
9725-EZTEJ,Montana,406,17-03-2012,Electronic,5759152857,72.32,22-04-2012,22-05-2012,05-06-2012,Yes,44,14
7856-ODQFO,Atlanta,770,05-08-2012,Electronic,7605231033,43.79,12-09-2012,12-10-2012,30-09-2012,No,18,0
9883-SDWFS,State of KS,897,08-07-2013,Paper,9186926292,26.37,26-02-2013,28-03-2013,31-03-2013,No,33,3
3568-JJMFW,Los Angeles,818,09-01-2012,Electronic,3347038968,81.7,13-06-2012,13-07-2012,10-07-2012,Yes,27,0
7856-ODQFO,Atlanta,770,05-08-2012,Electronic,2440506703,82.42,24-08-2013,23-09-2013,29-09-2013,Yes,36,6
3568-JJMFW,Los Angeles,818,09-01-2012,Electronic,391669562,71.98,08-08-2012,07-09-2012,04-09-2012,Yes,27,0
1080-NDGAE,State of OK,391,28-09-2012,Electronic,2329204580,54.56,02-03-2013,01-04-2013,21-03-2013,No,19,0
7228-LEPPM,Atlanta,770,30-04-2012,Paper,1657046645,27.63,29-01-2012,28-02-2012,21-03-2012,No,52,22
9181-HEKGV,Los Angeles,818,16-10-2013,Paper,3706686871,88.84,16-04-2012,16-05-2012,18-06-2012,Yes,63,33
0709-LZRJV,State of OK,391,20-06-2013,Electronic,3355481569,62.73,27-08-2013,26-09-2013,19-09-2013,No,23,0
7050-KQLDO,Atlanta,770,29-09-2012,Electronic,4728250241,72.67,17-10-2012,16-11-2012,25-10-2012,No,8,0
8820-BLYDZ,State of OK,391,19-03-2013,Paper,5318528972,95.99,28-05-2012,27-06-2012,12-06-2012,No,15,0
5164-VMYWJ,Montana,406,27-11-2013,Paper,9455464141,60.77,05-05-2013,04-06-2013,04-06-2013,No,30,0
6296-UKEUZ,State of KS,897,26-11-2012,Paper,497305913,54.74,07-11-2012,07-12-2012,29-11-2012,Yes,22,0
6831-FIODB,Atlanta,770,08-05-2013,Electronic,893954880,51.92,22-05-2013,21-06-2013,16-06-2013,No,25,0
8156-PCYBM,State of OK,391,03-03-2012,Electronic,5453381490,62.64,10-06-2013,10-07-2013,14-07-2013,No,34,4
1168-BEASA,State of KS,897,06-11-2013,Paper,4462653546,57.17,02-08-2012,01-09-2012,26-08-2012,No,24,0
9174-IYKOC,State of OK,391,27-11-2012,Electronic,237437528,35.69,09-12-2012,08-01-2013,15-01-2013,Yes,37,7
1168-BEASA,State of KS,897,06-11-2013,Paper,8835176664,59.86,30-12-2012,29-01-2013,25-01-2013,No,26,0
0688-XNJRO,State of KS,897,24-06-2012,Electronic,3876210500,22.9,08-09-2013,08-10-2013,26-10-2013,No,48,18
7372-CESLR,State of KS,897,11-01-2013,Paper,7692447978,37.25,01-01-2013,31-01-2013,31-01-2013,Yes,30,0
4092-ZAVRG,Montana,406,19-05-2012,Electronic,7890869729,87.71,25-11-2012,25-12-2012,30-11-2012,No,5,0
5573-KSOIA,Montana,406,30-09-2013,Paper,3638200662,92.94,23-12-2012,22-01-2013,07-02-2013,No,46,16
8942-ERSWK,State of KS,897,11-01-2013,Paper,1901766579,7.55,25-01-2012,24-02-2012,20-02-2012,Yes,26,0
6177-VTITE,State of KS,897,26-10-2012,Electronic,511851896,8.27,26-12-2012,25-01-2013,06-01-2013,No,11,0
6831-FIODB,Atlanta,770,08-05-2013,Paper,9821427141,11.79,10-11-2012,10-12-2012,10-12-2012,No,30,0
6632-CGYHU,State of OK,391,08-01-2013,Paper,8273477766,51.13,29-01-2012,28-02-2012,21-02-2012,No,23,0
7654-DOLHO,State of KS,897,04-04-2012,Electronic,7093044151,7.08,25-01-2013,24-02-2013,19-02-2013,No,25,0
5573-KSOIA,Montana,406,30-09-2013,Paper,7510320434,70.77,22-07-2013,21-08-2013,28-08-2013,No,37,7
1604-LIFKX,Los Angeles,818,16-03-2013,Paper,9385395392,54.41,08-03-2012,07-04-2012,01-05-2012,No,54,24
6627-ELFBK,Los Angeles,818,26-11-2012,Paper,3205321485,60.52,20-01-2012,19-02-2012,11-02-2012,No,22,0
6833-ETVHD,Montana,406,30-04-2012,Electronic,5614207522,59.25,24-01-2013,23-02-2013,11-02-2013,No,18,0
5573-KSOIA,Montana,406,30-09-2013,Paper,7588924933,69.54,17-04-2012,17-05-2012,20-05-2012,No,33,3
7050-KQLDO,Atlanta,770,29-09-2012,Electronic,6915911592,43.12,22-01-2013,21-02-2013,03-02-2013,No,12,0
0187-ERLSR,State of OK,391,31-07-2013,Paper,6637423646,53.59,25-05-2013,24-06-2013,02-06-2013,No,8,0
7654-DOLHO,State of KS,897,04-04-2012,Electronic,3717676857,8.22,13-09-2012,13-10-2012,05-10-2012,No,22,0
2447-JCFGW,Atlanta,770,31-07-2012,Electronic,355095997,31.38,12-12-2012,11-01-2013,05-01-2013,No,24,0
9771-QTLGZ,Montana,406,10-12-2012,Electronic,4965519306,56.56,26-05-2013,25-06-2013,06-06-2013,Yes,11,0
5592-UQXSS,Atlanta,770,31-12-2012,Electronic,2025587663,22.06,17-10-2013,16-11-2013,23-11-2013,Yes,37,7
3676-CQAIF,State of KS,897,29-07-2013,Paper,8623313803,44.52,07-02-2012,08-03-2012,17-03-2012,No,39,9
6708-DPYTF,State of OK,391,02-08-2012,Electronic,5423618299,81.59,20-03-2013,19-04-2013,28-04-2013,No,39,9
5164-VMYWJ,Montana,406,27-11-2013,Paper,3724015185,71.79,29-08-2012,28-09-2012,03-10-2012,No,35,5
5920-DPXLN,State of OK,391,11-11-2012,Paper,6425569284,35.36,10-05-2012,09-06-2012,10-06-2012,No,31,1
9181-HEKGV,Los Angeles,818,16-10-2013,Paper,7832843148,78.67,14-06-2012,14-07-2012,07-08-2012,Yes,54,24
5875-VZQCZ,Los Angeles,818,15-07-2013,Electronic,6151783720,62.17,04-11-2013,04-12-2013,07-12-2013,Yes,33,3
6708-DPYTF,State of OK,391,02-08-2012,Paper,8738019739,92.19,21-01-2012,20-02-2012,19-02-2012,No,29,0
9771-QTLGZ,Montana,406,10-12-2012,Electronic,9534543247,55.47,14-06-2013,14-07-2013,24-06-2013,Yes,10,0
7695-NKUXM,Los Angeles,818,21-11-2012,Electronic,8464039248,63.05,30-06-2013,30-07-2013,03-07-2013,No,3,0
6391-GBFQJ,State of KS,897,25-11-2013,Paper,893037091,6.43,09-02-2012,10-03-2012,25-02-2012,No,16,0
6708-DPYTF,State of OK,391,02-08-2012,Paper,7790893341,79.59,23-05-2012,22-06-2012,05-07-2012,No,43,13
6077-FDQRK,Atlanta,770,11-09-2012,Paper,8983088903,46.17,17-04-2012,17-05-2012,14-05-2012,No,27,0
4651-PMEXQ,Montana,406,04-07-2012,Electronic,5473678800,70.29,05-09-2013,05-10-2013,28-09-2013,No,23,0
0688-XNJRO,State of KS,897,24-06-2012,Electronic,1318038002,28.51,03-09-2012,03-10-2012,13-10-2012,No,40,10
2687-XWAMA,Atlanta,770,03-04-2013,Electronic,6303890920,44.78,23-11-2013,23-12-2013,15-12-2013,Yes,22,0
3993-QUNVJ,Atlanta,770,31-12-2012,Paper,4872529612,37.24,17-08-2012,16-09-2012,02-09-2012,No,16,0
9322-YCTQO,Montana,406,06-04-2012,Electronic,3362601597,52.54,30-11-2013,30-12-2013,05-01-2014,No,36,6
6296-UKEUZ,State of KS,897,26-11-2012,Electronic,8638140916,21.42,07-12-2012,06-01-2013,08-12-2012,No,1,0
5875-VZQCZ,Los Angeles,818,15-07-2013,Paper,6332346154,63.81,18-03-2012,17-04-2012,07-04-2012,No,20,0
6708-DPYTF,State of OK,391,02-08-2012,Paper,5897876193,76.81,04-07-2012,03-08-2012,16-08-2012,No,43,13
5148-SYKLB,Los Angeles,818,28-08-2013,Paper,49331333,68.8,29-05-2013,28-06-2013,10-07-2013,Yes,42,12
8389-TCXFQ,Montana,406,24-08-2012,Electronic,9506972426,76.26,17-07-2013,16-08-2013,13-08-2013,Yes,27,0
3448-OWJOT,Montana,406,15-09-2012,Electronic,9398281591,59.31,23-02-2013,25-03-2013,28-03-2013,Yes,33,3
6296-UKEUZ,State of KS,897,26-11-2012,Paper,4276703607,25.05,16-09-2012,16-10-2012,19-09-2012,No,3,0
9286-VLKMI,State of KS,897,13-02-2013,Electronic,7722226334,51.55,10-06-2013,10-07-2013,10-06-2013,No,0,0
3271-HYHDN,Los Angeles,818,28-04-2013,Paper,4816230113,59.17,02-05-2012,01-06-2012,05-05-2012,No,3,0
3568-JJMFW,Los Angeles,818,09-01-2012,Electronic,1026638537,70.86,27-07-2013,26-08-2013,23-08-2013,Yes,27,0
5920-DPXLN,State of OK,391,11-11-2012,Electronic,2561298121,36.1,01-01-2013,31-01-2013,13-01-2013,No,12,0
5613-UHVMG,Los Angeles,818,31-05-2012,Electronic,4937921214,53.8,30-09-2013,30-10-2013,05-11-2013,No,36,6
7329-TWKLF,State of OK,391,20-11-2013,Paper,4672194108,42.35,02-10-2012,01-11-2012,04-11-2012,No,33,3
6831-FIODB,Atlanta,770,08-05-2013,Paper,726197794,41.94,11-04-2013,11-05-2013,22-05-2013,Yes,41,11
6160-HCSFI,State of OK,391,10-01-2013,Electronic,1774766742,76.85,22-08-2013,21-09-2013,04-09-2013,No,13,0
6004-KITZM,Los Angeles,818,01-09-2013,Paper,7176685266,75.99,10-03-2012,09-04-2012,01-04-2012,No,22,0
7654-DOLHO,State of KS,897,04-04-2012,Electronic,8144548869,36.2,16-05-2012,15-06-2012,06-06-2012,No,21,0
8976-AMJEO,Montana,406,03-03-2012,Electronic,3867618352,51.96,25-10-2012,24-11-2012,23-11-2012,No,29,0
0379-NEVHP,State of OK,391,06-04-2013,Paper,611365,55.94,02-01-2013,01-02-2013,15-01-2013,No,13,0
1604-LIFKX,Los Angeles,818,16-03-2013,Electronic,2135320728,66.32,25-09-2013,25-10-2013,05-11-2013,No,41,11
9323-NDIOV,Atlanta,770,09-07-2012,Electronic,6759921255,69.18,08-10-2013,07-11-2013,02-11-2013,No,25,0
